Customer_Name,Customer_ID,Highest_Order_Value
Dianna Wilson,DW-13480,7491.26
Brosina Hoffman,BH-11710,7428.608
Giulietta Baptist,GB-14575,7263.92
Ross Baird,RB-19795,7259.872
Susan Pistek,SP-20920,7176.192000000002
Mitch Webber,MW-18220,7038.74
Steven Roelle,SR-20740,7011.68
Bill Eplett,BE-11335,6961.92
Christine Phan,CP-12340,6910.26
Rick Hansen,RH-19495,6839.744
Rick Wilson,RW-19540,6795.463999999999
Ellis Ballard,EB-13840,6787.36
Naresj Patel,NP-18325,6771.227999999999
Natalie Webber,NW-18400,6769.035999999999
Rick Huthwaite,RH-19510,6768.9
Penelope Sewall,PS-19045,6719.904
Kelly Collister,KC-16540,6709.96
Scot Coram,SC-20230,6678.244
Mitch Willingham,MW-18235,6667.8
Peter McVee,PM-19135,6665.947999999999
Tracy Blumstein,TB-21520,6658.868
Ted Trevino,TT-21070,6642.5560000000005
Thomas Boland,TB-21175,6582.139999999999
Gary Hwang,GH-14425,6581.032
Clay Ludtke,CL-12565,6502.68
Sample Company A,SC-20050,6494.316000000001
Mark Cousins,MC-17425,6472.82
Lena Creighton,LC-16885,6368.7119999999995
Jim Epp,JE-15610,6331.487999999999
Yoseph Carroll,YC-21895,6232.98
Tonja Turnell,TT-21460,6167.88
Bart Watters,BW-11110,6119.964
Brian Moss,BM-11650,6027.56
Bradley Drucker,BD-11500,6005.299999999999
Dan Reichenbach,DR-12880,5943.584
Robert Marley,RM-19675,5940.864
Thomas Seio,TS-21205,5885.568000000001
Erica Smith,ES-14020,5823.567999999999
Sung Pak,SP-20860,5809.144
Doug Jacobs,DJ-13630,5777.036
Grace Kelly,GK-14620,5751.087999999999
Resi Pölking,RP-19390,5708.96
Katherine Murray,KM-16375,5692.44
Ionia McGrath,IM-15055,5648.46
Sean Christensen,SC-20305,5607.84
Deborah Brumfield,DB-13270,5563.54
Denise Monton,DM-13345,5494.5
Heather Kirkland,HK-14890,5475.344
Sue Ann Reed,SA-20830,5471.904
Joel Eaton,JE-15745,5434.62
John Lee,JL-15835,5384.658
Sarah Foster,SF-20200,5381.48
Alejandro Savely,AS-10285,5357.88
Lindsay Castell,LC-16960,5353.344
Randy Ferguson,RF-19345,5347.379999999999
Justin Ellison,JE-16165,5315.62
Luke Foster,LF-17185,5313.432
Cassandra Brandow,CB-12025,5290.042
Annie Thurman,AT-10735,5286.12
Emily Ducich,ED-13885,5242.644
Anna Gayman,AG-10675,5241.8751999999995
Sharelle Roach,SR-20425,5226.618
Anthony Jacobs,AJ-10780,5166.380000000001
George Ashbrook,GA-14515,5145
Bill Donatelli,BD-11320,5135.68
Jeremy Lonsdale,JL-15505,5126.628000000001
Joe Elijah,JE-15715,5126.112
Sandra Glassco,SG-20080,5124.342
Stewart Carmichael,SC-20770,5101.173999999999
Pierre Wener,PW-19240,5083.96
Dana Kaydos,DK-12895,5063.759999999999
Justin Deggeller,JD-16150,5042.959999999999
Ken Heidel,KH-16630,5007.64
Meg Tillman,MT-17815,5006.94
Juliana Krohn,JK-16090,4959.92
Stefania Perrino,SP-20620,4914.282
Dean percer,Dp-13240,4875.344
Harold Ryan,HR-14830,4799.92
Linda Cazamias,LC-16930,4792.8
Dan Campbell,DC-12850,4765.852000000001
Frank Carlisle,FC-14245,4755.12
Alejandro Grove,AG-10270,4749.46
Shahid Collister,SC-20380,4723.04
Suzanne McNair,SM-20950,4717.344
Paul Prost,PP-18955,4709.96
Linda Southworth,LS-16945,4663.679999999999
Rick Reed,RR-19525,4608.74
Lauren Leatherbury,LL-16840,4597.799999999999
Corinna Mitchell,CM-12655,4589.8
Theone Pippenger,TP-21130,4566.860000000001
Nora Paige,NP-18670,4516.56
Ann Chong,AC-10615,4511.736
Mike Pelletier,MP-18175,4466.04
Valerie Dominguez,VD-21670,4440.12
Alan Schoenberger,AS-10225,4433.6
Philisse Overcash,PO-19180,4330.240000000001
Mary Zewe,MZ-17515,4317.388
Charles Crestani,CC-12145,4294.6720000000005
Jonathan Doherty,JD-15895,4290.5
Anne McFarland,AM-10705,4233.012000000001
Liz Preis,LP-17095,4227.134
Bradley Talbott,BT-11530,4221.44
Gary Zandusky,GZ-14470,4146.700000000001
David Flashing,DF-13135,4135.592000000001
Beth Thompson,BT-11305,4122.02
Deirdre Greer,DG-13300,4119.7
Lena Radford,LR-16915,4099.632
Eleni McCrary,EM-13810,4097.7119999999995
Jack Garza,JG-15115,4092.7079999999996
Thea Hudgings,TH-21115,4054.376
Russell Applegate,RA-19915,4054.2880000000005
Jamie Kunitz,JK-15205,4053.5600000000004
Brenda Bowman,BB-11545,4034.6400000000003
George Zrebassa,GZ-14545,4024.6040000000003
Fred Chung,FC-14335,4023.8
Emily Phan,EP-13915,4015.8096
Charles McCrossin,CM-12160,4007.04
Hunter Glantz,HG-15025,4006.2400000000002
Carol Adams,CA-11965,3999.92
Irene Maddox,IM-15070,3959.7799999999997
Anna Andreadi,AA-10645,3942.92
Scott Cohen,SC-20260,3933.114
Robert Waldorf,RW-19690,3917.088
Natalie DeCherney,ND-18370,3905.616
Michael Paige,MP-17965,3898.62
James Galang,JG-15160,3883.62
William Brown,WB-21850,3875.848
Bill Stewart,BS-11380,3831.248
Gary McGarr,GM-14440,3795.84
Victoria Pisteka,VP-21760,3787.572
Kunst Miller,KM-16720,3782.632
Henry Goldwyn,HG-14965,3779.98
Toby Carlisle,TC-21295,3770.54
Craig Carroll,CC-12685,3768.288
Kelly Lampkin,KL-16555,3767.4480000000003
Brian Stugart,BS-11665,3747.212
Clay Rozendal,CR-12580,3745.8680000000004
Ben Ferrer,BF-11170,3686.804
Kean Nguyen,KN-16450,3680.0860000000002
Jennifer Ferguson,JF-15415,3640.416
Victoria Wilson,VW-21775,3633.392
Jeremy Pistek,JP-15520,3632.7200000000003
Katherine Hughes,KH-16360,3629.3599999999997
Corey Catlett,CC-12610,3624.02
Dionis Lloyd,DL-13495,3603.264
John Dryer,JD-15790,3603.264
Kean Thornton,KT-16480,3599.94
Amy Cox,AC-10450,3587.96
Speros Goranitis,SG-20605,3564.34
Marc Crier,MC-17275,3543.0400000000004
Roger Barcio,RB-19705,3540.3799999999997
Greg Matthias,GM-14680,3539.568
Neoma Murray,NM-18520,3523.7000000000003
Amy Hunt,AH-10465,3515.7072
Sanjit Jacobs,SJ-20125,3499.804
Tamara Manning,TM-21010,3491.4199999999996
Rob Lucas,RL-19615,3490.798
Rick Duston,RD-19480,3490.7200000000003
Christopher Schild,CS-12400,3471.7010000000005
Nathan Cano,NC-18415,3458.572
John Stevenson,JS-15880,3435.9399999999996
Zuschuss Carroll,ZC-21910,3432.32
Sara Luxemburg,SL-20155,3404.0600000000004
Lindsay Williams,LW-16990,3383.2160000000003
Paul Van Hugh,PV-18985,3374.5200000000004
Arianne Irving,AI-10855,3359.92
Brian Dahlen,BD-11605,3359.498
Michael Moore,MM-17920,3356
Claudia Bergmann,CB-12535,3344.62
Jack O'Briant,JO-15145,3343.8600000000006
Dave Poirier,DP-13105,3342.16
Michael Chen,MC-17845,3339.2
Mark Packer,MP-17470,3337.976
Barry Gonzalez,BG-11035,3328.2639999999997
Muhammed Yedwab,MY-18295,3322.056
Bobby Elias,BE-11410,3299.5
Ivan Liston,IL-15100,3291.74
Cynthia Arntzen,CA-12775,3279.4219999999996
Valerie Takahito,VT-21700,3272.711999999999
Rose O'Brian,RO-19780,3270.036
Tracy Hopkins,TH-21550,3266.376
Dean Katz,DK-13225,3264.7239999999997
Anthony Rawles,AR-10825,3259.424
Eugene Barchas,EB-14110,3257.2200000000003
Joe Kamberova,JK-15730,3228.2480000000005
Jill Fjeld,JF-15565,3222.0200000000004
Lisa DeCherney,LD-17005,3218.64
Bill Overfelt,BO-11350,3209.46
Don Jones,DJ-13510,3206.272
Michelle Arnett,MA-17995,3206.272
Maxwell Schwartz,MS-17770,3199.7279999999996
Tanja Norvell,TN-21040,3176.646
Gary Hansen,GH-14410,3169.732
Alan Hwang,AH-10210,3155.88
Robert Dilbeck,RD-19660,3155.88
Pamela Coakley,PC-18745,3146.976
David Bremer,DB-13120,3137.7239999999997
Edward Nazzal,EN-13780,3125.388
Art Ferguson,AF-10870,3124.1720000000005
Carlos Daly,CD-11920,3119.336
Olvera Toch,OT-18730,3113.388
John Lucas,JL-15850,3110.488
Sylvia Foulston,SF-20965,3084.9400000000005
Michelle Huthwaite,MH-18025,3083.02
Thea Hendricks,TH-21100,3075.0879999999997
Edward Becker,EB-13750,3045.276
Arthur Gainer,AG-10900,3040.752
Patrick Ryan,PR-18880,3040.2999999999997
Eva Jacobs,EJ-14155,3034.098
Maureen Gastineau,MG-17680,3030.372
Frank Merwin,FM-14290,3015.876
Eugene Moren,EM-14140,2999.9
Phillip Flathmann,PF-19225,2979.4480000000003
Craig Molinari,CM-12715,2977.548
Allen Rosenblatt,AR-10405,2976.848
Maribeth Dona,MD-17350,2953.668
Aaron Smayling,AS-10045,2952.54
Ann Blume,AB-10600,2950.1079999999997
Tracy Poddar,TP-21565,2930.064
Karen Bern,KB-16240,2911.1
Denny Joy,DJ-13420,2909.8
Christine Kargatis,CK-12325,2897.706
Jay Fein,JF-15355,2893.5679999999998
Dave Hallsten,DH-13075,2891.348
Erin Smith,ES-14080,2887.44
Frank Olsen,FO-14305,2882.6
Christy Brittain,CB-12415,2879.952
Pauline Webber,PW-19030,2866.38
Mike Caudle,MC-18130,2862.156
Mark Hamilton,MH-17455,2849.8
Deanra Eno,DE-13255,2846.68
Paul Knutson,PK-18910,2844.504
Pauline Johnson,PJ-19015,2836.42
Mick Hernandez,MH-18115,2832.6080000000006
Alan Haines,AH-10195,2820.132
Dorothy Badders,DB-13555,2814.4096
Stefanie Holloman,SH-20635,2807.84
Chris McAfee,CM-12235,2799.888
Shahid Hopkins,SH-20395,2791.3459999999995
Frank Preis,FP-14320,2769.8480000000004
Neola Schneider,NS-18505,2741.0699999999997
Tom Stivers,TS-21430,2735.68
Anthony Johnson,AJ-10795,2731.2599999999998
Frank Atkinson,FA-14230,2730.96
Shahid Shariari,SS-20410,2727.3479999999995
Frank Hawley,FH-14275,2724.112
Stephanie Ulpright,SU-20665,2717.732000000001
Sam Craven,SC-20020,2707.0591999999997
Sam Zeldin,SZ-20035,2699.2599999999998
Neil Ducich,ND-18460,2695.04
Craig Leslie,CL-12700,2688.84
Ken Dana,KD-16615,2672.7039999999997
Dave Brooks,DB-13060,2653.38
Mike Gockenbach,MG-18145,2649.1480000000006
Trudy Schmidt,TS-21655,2645.5
Karen Carlisle,KC-16255,2639.92
Julia Barnett,JB-16045,2623.94
Harold Pawlan,HP-14815,2622.744
Matthew Grinstein,MG-17650,2620.672
Chad Cunningham,CC-12100,2616.392
Rob Haberlin,RH-19600,2611.62
Philip Fox,PF-19165,2605.66
Daniel Lacy,DL-12925,2599.98
Maris LaWare,ML-17410,2597.7920000000004
Valerie Mitchum,VM-21685,2589.5
Ed Braxton,EB-13705,2586.976
Jim Karlsson,JK-15625,2586.9359999999997
Gene Hale,GH-14485,2576.9280000000003
Toby Braunhardt,TB-21280,2574.9
Chris Selesnick,CS-12250,2574.52
Brendan Sweed,BS-11590,2561.9839999999995
Kristina Nunn,KN-16705,2556.316
Matt Collister,MC-17590,2547.2459999999996
Nat Carroll,NC-18340,2547.2120000000004
Richard Bierner,RB-19435,2545.4080000000004
Georgia Rosenberg,GR-14560,2542.84
Julia West,JW-16075,2540.758
Roland Schwarz,RS-19765,2522.66
Noel Staavos,NS-18640,2505.2720000000004
Nicole Hansen,NH-18610,2491.72
Nicole Fjeld,NF-18595,2485.7920000000004
Chloris Kastensmidt,CK-12205,2485.264
Ralph Kennedy,RK-19300,2476.6600000000003
Troy Staebel,TS-21610,2463
Ralph Arnett,RA-19285,2461
Steve Nguyen,SN-20710,2457.9064
Rob Dowd,RD-19585,2441.34
Ed Jacobs,EJ-13720,2439.584
Shaun Weien,SW-20455,2435.136
Ricardo Sperren,RS-19420,2434.7599999999998
Ruben Ausman,RA-19885,2431.84
Laurel Beltran,LB-16795,2431.4400000000005
Ben Peterman,BP-11185,2406.8819999999996
Eileen Kiefer,EK-13795,2396.66
Christina VanderZanden,CV-12295,2381.68
Darren Budd,DB-12970,2359.644
Michael Kennedy,MK-17905,2358.54
Michelle Ellison,ME-18010,2347.232
Shaun Chance,SC-20440,2346.06
Matt Abelman,MA-17560,2341.8360000000002
Dianna Vittorini,DV-13465,2341.44
Matt Hagelstein,MH-17620,2341.1279999999997
Adam Hart,AH-10075,2339.96
Tracy Zic,TZ-21580,2334.592
Tamara Dahlen,TD-20995,2334.112
Kean Takahito,KT-16465,2333.4320000000002
Emily Grady,EG-13900,2330.656
Nancy Lomonaco,NL-18310,2317.764
Andrew Allen,AA-10480,2315.96
Monica Federle,MF-18250,2305.7400000000002
Fred Harton,FH-14350,2284.86
Trudy Glocke,TG-21640,2284.3300000000004
Dennis Kane,DK-13375,2274.8
Brian Thompson,BT-11680,2267.64
Cathy Hwang,CH-12070,2255.952
Bill Tyler,BT-11395,2253.6600000000003
Liz Willingham,LW-17125,2241.46
Rob Williams,RW-19630,2240.736
Stewart Visinsky,SV-20785,2238.296
Arthur Wiediger,AW-10930,2235.84
Steven Cartwright,SC-20725,2232.96
Michael Nguyen,MN-17935,2230.5
Nick Radford,NR-18550,2223.396
Joy Smith,JS-16030,2221
Becky Pak,BP-11155,2219.9
Elizabeth Moffitt,EM-13825,2215.3599999999997
Elpida Rittenbach,ER-13855,2213.848
Stuart Van,SV-20815,2204.944
Giulietta Dortch,GD-14590,2199
Alyssa Tate,AT-10435,2192.9759999999997
Jennifer Patt,JP-15460,2182.88
Carol Triggs,CT-11995,2182.7000000000003
Jack Lebron,JL-15130,2180.696
Adam Shillingsburg,AS-10090,2170.32
Logan Currie,LC-17140,2166.14
Don Miller,DM-13525,2164.3
Carl Ludwig,CL-11890,2163.38
Trudy Brown,TB-21625,2158.632
Gary Mitchum,GM-14455,2154.94
Lindsay Shagiari,LS-16975,2143.4800000000005
Rick Bensley,RB-19465,2129.248
Dan Lawera,DL-12865,2118.176
Cynthia Delaney,CD-12790,2116.54
Jenna Caffey,JC-15385,2116.2160000000003
Paul MacIntyre,PM-18940,2113.72
Toby Gnade,TG-21310,2109.856
Cari Sayre,CS-11845,2103.824
David Philippe,DP-13165,2101.2
Filia McAdams,FM-14215,2096.7
Janet Molinari,JM-15265,2090.42
Emily Burns,EB-13870,2089.26
Sheri Gordon,SG-20470,2089.26
Susan MacKendrick,SM-20905,2086.082
Jas O'Carroll,JO-15280,2077.68
Theresa Coyne,TC-21145,2076.52
Barry Französisch,BF-11020,2071.6
Dave Kipp,DK-13090,2061.4840000000004
Daniel Byrd,DB-12910,2055.352
Dean Braden,DB-13210,2049.2740000000003
Benjamin Patterson,BP-11230,2045.94
Anne Pryor,AP-10720,2036.6039999999998
Cathy Armstrong,CA-12055,2032.3680000000002
Ken Black,KB-16585,2031.632
Cynthia Voltz,CV-12805,2027.584
Pauline Chand,PC-19000,2023.392
Greg Guthrie,GG-14650,2015.8720000000005
Justin MacKendrick,JM-16195,2001.9
Nora Pelletier,NP-18685,1999.96
Ruben Dartt,RD-19900,1995.8680000000002
Saphhira Shifley,SS-20140,1995.6600000000003
Candace McMahon,CM-11815,1988.928
Claire Gute,CG-12520,1987.8000000000002
Aaron Hawkins,AH-10030,1982.52
Marc Harrigan,MH-17290,1974.376
Sean O'Donnell,SO-20335,1959.891
Brad Eason,BE-11455,1959.2520000000002
Doug Bickford,DB-13615,1958.208
Roy Phan,RP-19855,1949.8000000000002
Arthur Prichep,AP-10915,1936.6000000000001
Chris Cortes,CC-12220,1924.8120000000001
Erica Bern,EB-13975,1919.936
Craig Carreira,CC-12670,1913.607
Janet Martin,JM-15250,1909.8040000000003
Sarah Bern,SB-20170,1909.096
Sally Hughsby,SH-19975,1882.3600000000001
Andrew Gjertsen,AG-10495,1875.2160000000001
Roland Fjeld,RF-19735,1871.48
Patrick O'Donnell,PO-18865,1870.3039999999999
Bruce Stewart,BS-11755,1867.9
Damala Kotsonis,DK-12835,1854.88
Maya Herman,MH-17785,1852.8799999999999
Katharine Harms,KH-16330,1842.4560000000001
Christine Sundaresam,CS-12355,1838.9799999999998
Annie Zypern,AZ-10750,1837.932
Jason Gross,JG-15310,1832.28
Christina Anderson,CA-12265,1825.5
Michael Dominguez,MD-17860,1818.24
Craig Reiter,CR-12730,1809.8
Liz Thompson,LT-17110,1808.26
Julie Kriz,JK-16120,1800.16
Victor Preis,VP-21730,1798.2199999999998
Kalyca Meade,KM-16225,1792.7600000000002
Theresa Swint,TS-21160,1792.6200000000003
Craig Yedwab,CY-12745,1791.888
Ben Wallace,BW-11200,1783.5520000000001
Justin Hirsh,JH-16180,1775.932
Nick Zandusky,NZ-18565,1772.56
Scott Williamson,SW-20275,1771.1399999999999
Jeremy Ellison,JE-15475,1770.06
Duane Noonan,DN-13690,1769.3600000000001
Barry Pond,BP-11050,1766.6399999999999
Duane Benoit,DB-13660,1757.632
Lena Cacioppo,LC-16870,1749.6000000000001
Maribeth Yedwab,MY-17380,1748.6159999999998
Darrin Van Huff,DV-13045,1747.622
Chuck Clark,CC-12430,1736.9040000000002
Katherine Ducich,KD-16345,1735.488
Liz Carlisle,LC-17050,1732.8
Mike Vittorini,MV-18190,1727.856
Jocasta Rupert,JR-15700,1727.76
Patrick Jones,PJ-18835,1720.14
James Lanier,JL-15175,1701.84
Jamie Frazer,JF-15190,1694.92
Brooke Gillingham,BG-11695,1690.976
Shirley Jackson,SJ-20500,1680
Zuschuss Donatelli,ZD-21925,1679.888
Maureen Gnade,MG-17695,1670.34
Bart Pistole,BP-11095,1664.2759999999998
Meg O'Connel,MO-17800,1660.4799999999998
Michelle Tran,MT-18070,1647.4499999999998
Steve Carroll,SC-20680,1643.88
Bradley Nguyen,BN-11515,1642.4479999999999
Mick Brown,MB-18085,1635.658
Evan Bailliet,EB-14170,1635.596
Lisa Ryan,LR-17035,1612.8180000000002
Mick Crebagga,MC-18100,1607.9199999999998
Jessica Myrick,JM-15535,1599.12
Michael Grace,MG-17875,1592.85
Christina DeMoss,CD-12280,1592.0720000000001
Dario Medina,DM-12955,1590.816
Stephanie Phelps,SP-20650,1574.0880000000002
Jill Stevenson,JS-15595,1567.92
Chad McGuire,CM-12115,1564.8
Benjamin Farhat,BF-11215,1560.1719999999998
Nathan Gelder,NG-18430,1558.3200000000002
Alex Russell,AR-10345,1551.4560000000001
Ashley Jarboe,AJ-10945,1548.9400000000003
Steve Chapman,SC-20695,1547.18
Tony Chapman,TC-21475,1543.6
Thomas Brumley,TB-21190,1534.428
Michelle Moray,MM-18055,1531.25
Laurel Workman,LW-16825,1530.988
Skye Norling,SN-20560,1525.188
Bryan Spruell,BS-11800,1521.6000000000001
Victoria Brennan,VB-21745,1513.6
Troy Blackwell,TB-21595,1508.9
Mary O'Rourke,MO-17500,1508.424
Noah Childs,NC-18625,1504.8200000000002
Janet Lee,JL-15235,1503.968
Eugene Hildebrand,EH-14125,1497.504
Patrick Gardner,PG-18820,1488.3000000000002
Gene McClure,GM-14500,1486.8519999999999
David Smith,DS-13180,1480.176
Barry Franz,BF-11005,1479.472
Max Engle,ME-17725,1477.4104
Jay Kimmel,JK-15370,1474.4
Tony Sayre,TS-21505,1464.6240000000003
Ritsa Hightower,RH-19555,1464.312
Carlos Soltero,CS-11950,1460.018
Patricia Hirasaki,PH-18790,1459.2959999999998
Becky Castell,BC-11125,1453.656
Henia Zydlo,HZ-14950,1447.84
Cyma Kinney,CK-12760,1438.19
John Grady,JG-15805,1437.9
Justin Ritter,JR-16210,1434.24
Frank Gastineau,FG-14260,1423.3600000000001
Ryan Akin,RA-19945,1418.085
Xylona Preis,XP-21865,1417.2320000000002
Alyssa Crouse,AC-10420,1412.128
Aimee Bixby,AB-10150,1411.1239999999998
John Castell,JC-15775,1411.088
Cyra Reiten,CR-12820,1405.6848
Clytie Kelty,CK-12595,1398.8000000000002
Katrina Bavinger,KB-16405,1395.0499999999997
Magdelene Morse,MM-17260,1385.0040000000001
Hallie Redmond,HR-14770,1374.8
Cindy Chapman,CC-12475,1372.8
Katrina Edelman,KE-16420,1361.56
Bruce Degenhardt,BD-11725,1350.12
Michelle Lonsdale,ML-18040,1349.744
Matt Connell,MC-17605,1348.116
Helen Andreada,HA-14920,1343.86
Randy Bradley,RB-19330,1340.7559999999999
Benjamin Venier,BV-11245,1340.0020000000002
Steven Ward,SW-20755,1327.9279999999999
Fred McMath,FM-14380,1327.904
Max Ludwig,ML-17755,1327.872
Dorris liebe,Dl-13600,1317.492
Tim Brockman,TB-21250,1311.7600000000002
Ted Butterfield,TB-21055,1310.1799999999998
Andy Gerbode,AG-10525,1309.5439999999999
Darrin Sayre,DS-13030,1308.484
Vicky Freymann,VF-21715,1303.176
Beth Paige,BP-11290,1302.9920000000002
Sonia Cooley,SC-20575,1295.68
Liz MacKendrick,LM-17065,1293.552
Darren Koutras,DK-12985,1292.4
Laurel Elliston,LE-16810,1283.92
Lena Hernandez,LH-16900,1277.64
Charlotte Melton,CM-12190,1277.36
Katherine Nockton,KN-16390,1274.54
Raymond Messe,RM-19375,1274.3600000000001
Sally Knutson,SK-19990,1263.1979999999999
Giulietta Weimer,GW-14605,1262.352
Odella Nelson,ON-18715,1260.048
Ken Brennan,KB-16600,1259.9
Mike Kennedy,MK-18160,1259.7200000000003
Joni Blumstein,JB-15925,1255.8479999999997
Russell D'Ascenzo,RD-19930,1247.92
Marina Lichtenstein,ML-17395,1234.24
Philip Brown,PB-19150,1224.9160000000002
Adrian Hane,AH-10120,1220.8359999999998
Vivek Sundaresam,VS-21820,1220.6139999999998
Pamela Stobb,PS-18760,1220.3120000000001
Ralph Ritter,RR-19315,1217.1040000000003
Luke Schmidt,LS-17200,1210.68
Peter Bühler,PB-19105,1209.312
Jim Radford,JR-15670,1208.196
Jennifer Jackson,JJ-15445,1203
Denny Blanton,DB-13405,1202.88
Erin Ashbrook,EA-14035,1199.98
Debra Catini,DC-13285,1196.704
Nat Gilpin,NG-18355,1189
Carl Weiss,CW-11905,1185.48
Evan Henry,EH-14185,1177.568
Michael Stewart,MS-17980,1176.016
Helen Abelman,HA-14905,1164.608
Brian DeCherney,BD-11620,1164.1399999999999
Eric Murdock,EM-13960,1145.6
Jesus Ocampo,JO-15550,1140.9839999999997
Henry MacAllister,HM-14980,1138.672
Toby Swindell,TS-21340,1137.72
Corey-Lock,Co-12640,1129.536
Parhena Norris,PN-18775,1127.88
Aaron Bergman,AB-10015,1127.8799999999999
Cindy Schnelling,CS-12490,1124.585
Tony Molinari,TM-21490,1117.62
Julie Prescott,JP-16135,1116.48
Herbert Flentye,HF-14995,1113.33
Jim Sink,JS-15685,1105.712
Susan Vittorini,SV-20935,1104
Maureen Fritzler,MF-17665,1103.97
Charles Sheldon,CS-12175,1102.0759999999998
Roger Demir,RD-19720,1090.02
Catherine Glotzbach,CG-12040,1076.044
Thomas Thornton,TT-21220,1075.088
Sarah Jordon,SJ-20215,1073.716
Paul Gonzalez,PG-18895,1072.72
Guy Armstrong,GA-14725,1070.54
Carlos Meador,CM-11935,1060.544
Eric Barreto,EB-13930,1052.688
Shirley Schmidt,SS-20515,1051.9
Todd Boyes,TB-21355,1049.7
Liz Pelletier,LP-17080,1049.232
Sean Wendt,SW-20350,1046.36
Nona Balk,NB-18655,1042.4479999999999
Eudokia Martin,EM-14095,1040.06
Kelly Andreada,KA-16525,1037.736
Allen Armold,AA-10375,1027.04
Ross DeVincentis,RD-19810,1024.7359999999999
Matthew Clasen,MC-17635,1023.896
Karl Braun,KB-16315,1021.648
Denise Leinenbach,DL-13330,1016.22
Maurice Satty,MS-17710,997.86
Dorothy Wardle,DW-13585,996.9839999999999
Doug O'Connell,DO-13645,996.3
Patrick Bzostek,PB-18805,994.088
Christine Abelman,CA-12310,990.6
Logan Haushalter,LH-17155,984.5600000000001
Tiffany House,TH-21235,980.7840000000001
Bruce Geld,BG-11740,972.736
Alejandro Ballentine,AB-10255,959.968
Cari Schnelling,CS-11860,959.968
Bryan Mills,BM-11785,951.888
Chad Sievert,CS-12130,944.088
Harold Engle,HE-14800,939.3199999999999
Rachel Payne,RP-19270,935.3064
Astrea Jones,AJ-10960,920.4399999999999
Duane Huffman,DH-13675,920.184
Sibella Parks,SP-20545,919.9
Denny Ordway,DO-13435,918.867
Kimberly Carter,KC-16675,904.928
Mathew Reese,MR-17545,897.6360000000001
Maria Bertelson,MB-17305,896.892
David Wiener,DW-13195,896.8359999999999
Angele Hood,AH-10585,895.76
Delfina Latchford,DL-13315,885
Roy Französisch,RF-19840,880.3199999999999
Bobby Trafton,BT-11440,880.0959999999999
Mark Van Huff,MV-17485,873.192
Richard Eichhorn,RE-19450,871.0799999999999
Julie Creighton,JC-16105,870.2639999999999
Dennis Bolton,DB-13360,869.292
David Kendrick,DK-13150,867.12
Alice McCarthy,AM-10360,865.38
Scot Wooten,SW-20245,857.4079999999999
Tracy Collins,TC-21535,851.908
Paul Stevenson,PS-18970,850.112
George Bell,GB-14530,839.7399999999999
Brian Derr,BD-11635,839.4519999999999
