order_id,order_date,first_name,last_name,total_amount
CA-2016-158435,5/17/2016,Arthur,Gainer,65.17
CA-2017-110198,05-01-2017,Arthur,Gainer,314.352
CA-2016-160108,12-08-2016,Arthur,Gainer,405.86
CA-2015-130113,12/27/2015,Aaron,Hawkins,323.1
CA-2014-113768,5/13/2014,Aaron,Hawkins,279.456
US-2014-158400,10/25/2014,Aaron,Hawkins,49.408
CA-2014-157644,12/31/2014,Aaron,Hawkins,34.77
CA-2014-122070,4/22/2014,Aaron,Hawkins,247.84
CA-2016-162747,3/20/2016,Aaron,Hawkins,86.45
CA-2017-164000,12/18/2017,Aaron,Hawkins,18.704
CA-2017-165029,11/26/2017,Adam,Hart,12.84
CA-2017-118857,4/15/2017,Adam,Hart,196.45
CA-2016-149797,9/15/2016,Adam,Hart,841.568
CA-2017-112004,9/25/2017,Adam,Hart,8.595
CA-2015-161795,12/21/2015,Adam,Hart,3.008
CA-2016-144015,6/26/2016,Adam,Hart,231.72
CA-2016-147109,12/17/2016,Adam,Hart,51.84
CA-2017-125451,10/23/2017,Adam,Hart,240.744
CA-2017-145702,5/19/2017,Adam,Hart,314.352
CA-2014-160066,11/16/2014,Adam,Hart,5.22
CA-2017-150987,04-08-2017,Adrian,Hane,244.55
CA-2016-145261,12/18/2016,Adrian,Hane,45.24
CA-2017-131632,10/31/2017,Adrian,Hane,5.248
CA-2017-151211,8/17/2017,Adrian,Hane,102.93
CA-2016-135594,6/30/2016,Adrian,Hane,50.12
CA-2017-107958,07-02-2017,Adrian,Hane,163.96
CA-2014-123295,7/18/2014,Adrian,Hane,259.136
CA-2016-112697,12/18/2016,Alan,Haines,254.058
CA-2017-154732,11-05-2017,Alan,Haines,16.03
CA-2017-123043,8/24/2017,Alan,Haines,24.672
CA-2015-125185,03-05-2015,Alan,Haines,99.372
CA-2015-165050,12-07-2015,Alan,Hwang,21.36
CA-2017-104080,03-08-2017,Alan,Hwang,171.2
CA-2017-166919,11/23/2017,Alan,Hwang,195.96
US-2017-148831,10/13/2017,Alan,Hwang,348.56
CA-2017-147956,12/24/2017,Alan,Hwang,1003.62
CA-2014-153983,11/29/2014,Alan,Hwang,575.92
CA-2016-166485,2/20/2016,Alan,Hwang,16.496
CA-2015-155040,11-10-2015,Alan,Hwang,79.9
CA-2017-146983,09-02-2017,Alan,Hwang,1577.94
CA-2017-145275,04-02-2017,Amy,Hunt,14.94
CA-2017-115546,5/14/2017,Amy,Hunt,539.97
CA-2015-151547,1/17/2015,Amy,Hunt,88.96
CA-2016-126165,05-05-2016,Amy,Hunt,71.088
CA-2015-141243,01-03-2015,Amy,Hunt,398.4
US-2017-152492,07-06-2017,Angele,Hood,239.24
CA-2017-109715,12-09-2017,Angele,Hood,15.984
CA-2014-162278,10/26/2014,Angele,Hood,63.92
CA-2016-160479,9/15/2016,Angele,Hood,35.4
CA-2016-148740,11/15/2016,Anna,HÃ¤berlin,361.376
CA-2016-158869,08-06-2016,Anna,HÃ¤berlin,70.88
CA-2015-113628,11-12-2015,Anna,HÃ¤berlin,11.76
CA-2015-110548,05-04-2015,Anna,HÃ¤berlin,946.344
CA-2015-112214,08-05-2015,Anna,HÃ¤berlin,33.488
CA-2016-113831,5/30/2016,Anna,HÃ¤berlin,2275.5
CA-2015-166604,5/15/2015,Anna,HÃ¤berlin,17.94
CA-2014-160276,04-02-2014,Anna,HÃ¤berlin,177.68
CA-2016-145709,10-04-2016,Anna,HÃ¤berlin,52.68
CA-2016-144148,7/31/2016,Anna,HÃ¤berlin,863.128
CA-2016-138282,5/19/2016,Anna,HÃ¤berlin,87.84
CA-2015-139780,12/31/2015,Anna,HÃ¤berlin,116.4
CA-2014-102330,12/29/2014,Arianne,Irving,88.8
CA-2014-131387,4/28/2014,Arianne,Irving,1679.96
CA-2015-158918,12/20/2015,Arianne,Irving,17.12
CA-2017-155929,09-09-2017,Arianne,Irving,6.368
CA-2014-159709,05-10-2014,Arianne,Irving,158.13
CA-2016-158694,11-10-2016,Arianne,Irving,67.71
CA-2017-107552,05-05-2017,Arianne,Irving,6.68
CA-2017-116855,12/17/2017,Arianne,Irving,504.9
US-2017-160759,12-11-2017,Arianne,Irving,63.686
CA-2015-167479,3/14/2015,Arianne,Irving,19.44
CA-2014-149020,01-10-2014,Anthony,Jacobs,2.89
CA-2016-123617,11/28/2016,Anthony,Jacobs,7.434
CA-2014-141313,12/28/2014,Anthony,Jacobs,1737.18
US-2017-133361,5/14/2017,Anthony,Jacobs,3.76
CA-2014-108609,10/31/2014,Anthony,Jacobs,1421.664
CA-2017-111577,10/16/2017,Anthony,Jacobs,307.776
CA-2015-165554,5/18/2015,Anthony,Jacobs,10.86
CA-2016-123015,12/26/2016,Anthony,Johnson,4.992
CA-2017-142342,7/17/2017,Anthony,Johnson,32.4
CA-2016-123946,09-12-2016,Anthony,Johnson,20.7
CA-2016-138079,1/22/2016,Anthony,Johnson,109.9
CA-2014-110786,12/29/2014,Anthony,Johnson,24.9
CA-2016-134474,01-05-2016,Anthony,Johnson,191.472
CA-2014-106810,5/14/2014,Anthony,Johnson,310.88
CA-2014-155852,03-03-2014,Ashley,Jarboe,19.456
CA-2017-133004,8/31/2017,Ashley,Jarboe,638.73
CA-2016-115378,11/18/2016,Ashley,Jarboe,301.96
US-2015-132836,06-01-2015,Ashley,Jarboe,299.98
CA-2015-126347,12/14/2015,Ashley,Jarboe,50
CA-2015-164497,11/28/2015,Ashley,Jarboe,45.28
CA-2017-137421,10-06-2017,Ashley,Jarboe,9.344
CA-2014-131800,12/30/2014,Astrea,Jones,122.94
CA-2017-123246,10/17/2017,Astrea,Jones,10.64
CA-2014-113362,9/14/2014,Astrea,Jones,449.15
CA-2016-157000,7/16/2016,Alice,McCarthy,37.224
CA-2017-109701,12-02-2017,Alice,McCarthy,9.024
US-2015-107944,3/23/2015,Alice,McCarthy,192.72
CA-2014-132542,10-06-2014,Alice,McCarthy,15.36
CA-2017-161340,5/28/2017,Alice,McCarthy,13.872
CA-2017-104731,7/21/2017,Anne,McFarland,101.94
CA-2017-157903,04-04-2017,Anne,McFarland,383.84
CA-2015-138457,9/13/2015,Anne,McFarland,13.092
CA-2015-151470,9/20/2015,Anne,McFarland,45.584
CA-2015-100573,9/25/2015,Anne,McFarland,17.48
CA-2014-145387,10/31/2014,Anne,McFarland,49.25
US-2017-124821,6/25/2017,Anne,McFarland,871.4
CA-2016-145905,9/18/2016,Anne,McFarland,350.98
CA-2016-148096,8/16/2016,Anthony,O'Donnell,161.28
CA-2016-120250,9/19/2016,Anne,Pryor,25.632
CA-2017-143021,11/19/2017,Anne,Pryor,58.408
CA-2016-154403,5/23/2016,Anne,Pryor,4.98
CA-2014-127964,03-03-2014,Anne,Pryor,9.99
US-2016-114174,09-08-2016,Anne,Pryor,173.94
US-2015-165449,11/22/2015,Anne,Pryor,27.168
US-2016-103674,12-06-2016,Anne,Pryor,271.96
CA-2016-136322,10/21/2016,Anne,Pryor,45.568
US-2017-132059,9/23/2017,Arthur,Prichep,180.588
CA-2016-168893,11-03-2016,Arthur,Prichep,20
US-2016-164588,4/16/2016,Arthur,Prichep,12.84
CA-2014-113047,10/24/2014,Arthur,Prichep,11.85
CA-2014-146969,9/29/2014,Arthur,Prichep,204.6
CA-2017-146136,09-03-2017,Arthur,Prichep,24.448
CA-2016-128412,12-10-2016,Arthur,Prichep,153.552
CA-2014-124737,8/23/2014,Arthur,Prichep,15.552
CA-2017-168228,4/27/2017,Arthur,Prichep,123.92
CA-2014-105270,11-11-2014,Arthur,Prichep,30.48
CA-2017-126396,09-08-2017,Alex,Russell,85.2
CA-2017-126438,09-10-2017,Alex,Russell,14.88
US-2014-115189,12/30/2014,Alex,Russell,251.964
CA-2015-139374,09-10-2015,Alex,Russell,179.886
CA-2017-149468,5/20/2017,Allen,Rosenblatt,41.28
CA-2015-164427,7/31/2015,Allen,Rosenblatt,239.7
CA-2014-157882,10-03-2014,Allen,Rosenblatt,143.432
CA-2017-140844,6/19/2017,Allen,Rosenblatt,97.82
US-2017-134481,8/27/2017,Allen,Rosenblatt,1488.424
US-2014-105767,5/23/2014,Andrew,Roberts,3.282
CA-2015-112319,8/31/2015,Andrew,Roberts,58.32
CA-2016-147536,12/26/2016,Andrew,Roberts,89.97
CA-2017-111808,12/16/2017,Andrew,Roberts,10.8
CA-2014-115056,05-02-2014,Andrew,Roberts,26.136
CA-2017-138289,1/16/2017,Andy,Reiter,5443.96
CA-2016-138037,9/29/2016,Andy,Reiter,27.24
US-2015-136987,04-11-2015,Andy,Reiter,639.968
CA-2014-122588,11/25/2014,Andy,Reiter,52.96
CA-2015-123505,11/22/2015,Andy,Reiter,14.94
CA-2017-154935,12/24/2017,Andy,Reiter,17.88
CA-2016-157588,7/14/2016,Anemone,Ratner,36.4
CA-2017-118724,7/21/2017,Anthony,Rawles,3.52
CA-2016-132304,6/14/2016,Anthony,Rawles,1115.17
CA-2017-141425,11-02-2017,Anthony,Rawles,384.592
CA-2016-160745,12-11-2016,Anthony,Rawles,14.8
CA-2015-160213,03-08-2015,Anthony,Rawles,19.44
US-2016-148110,09-05-2016,Anthony,Rawles,347.802
CA-2014-109218,6/30/2014,Anthony,Rawles,32.4
US-2017-108343,7/20/2017,Anthony,Rawles,13.36
US-2017-147655,09-04-2017,Aaron,Smayling,88.074
CA-2016-148747,9/25/2016,Aaron,Smayling,477.666
CA-2017-101749,10-03-2017,Aaron,Smayling,171.288
CA-2017-113481,01-02-2017,Aaron,Smayling,695.7
CA-2016-162901,3/28/2016,Aaron,Smayling,31.4
CA-2017-162691,08-01-2017,Aaron,Smayling,1439.982
US-2014-150126,7/27/2014,Aaron,Smayling,65.78
CA-2016-119865,6/21/2016,Adam,Shillingsburg,36.56
CA-2016-150007,09-11-2016,Adam,Shillingsburg,6
CA-2014-132913,12/24/2014,Adam,Shillingsburg,13.97
CA-2016-104311,05-02-2016,Adam,Shillingsburg,18.936
US-2017-108063,12-02-2017,Adam,Shillingsburg,34.65
CA-2015-127509,11-09-2015,Adam,Shillingsburg,17.22
CA-2017-145877,04-01-2017,Adam,Shillingsburg,94.2
CA-2017-136448,9/16/2017,Adam,Shillingsburg,71.976
CA-2014-156160,9/22/2014,Adam,Shillingsburg,97.44
CA-2016-149461,11/13/2016,Adrian,Shami,4.18
CA-2017-162929,11/19/2017,Adrian,Shami,41.28
CA-2015-144253,05-04-2015,Alan,Schoenberger,26.8
CA-2014-110408,10/18/2014,Alan,Schoenberger,275.97
CA-2017-112515,9/17/2017,Alan,Schoenberger,10.776
CA-2016-143154,12-02-2016,Alan,Schoenberger,165.6
CA-2017-117926,12-08-2017,Alan,Schoenberger,69.48
CA-2014-128538,10-11-2014,Alan,Shonely,7.64
CA-2015-150749,3/29/2015,Alan,Shonely,5.56
CA-2016-118913,6/25/2016,Alan,Shonely,60.81
CA-2017-101049,6/21/2017,Alan,Shonely,17.92
CA-2014-149958,3/15/2014,Alan,Shonely,142.776
CA-2015-143700,7/26/2015,Alan,Shonely,10.368
CA-2016-114405,04-07-2016,Alan,Shonely,33.528
CA-2016-163755,11-04-2016,Alejandro,Savely,209.88
CA-2016-134775,10/28/2016,Alejandro,Savely,50.96
US-2016-106677,11-05-2016,Alejandro,Savely,23.988
CA-2017-149706,12-11-2017,Alejandro,Savely,116.312
US-2016-164196,11-11-2016,Alejandro,Savely,2678.94
CA-2016-114209,5/21/2016,Alejandro,Savely,1.964
CA-2014-101392,12-07-2014,Ann,Steele,269.36
US-2017-129224,3/17/2017,Ann,Steele,4.608
US-2016-155404,9/22/2016,Ann,Steele,13.28
CA-2014-162684,08-01-2014,Ann,Steele,5.68
US-2015-146745,09-03-2015,Ann,Steele,129.568
CA-2017-100314,9/29/2017,Ann,Steele,7.968
CA-2017-124597,4/30/2017,Ann,Steele,4.608
CA-2016-100468,11/24/2016,Alyssa,Tate,33.52
CA-2014-120243,12/27/2014,Alyssa,Tate,11.56
CA-2017-102407,12-09-2017,Alyssa,Tate,11.16
CA-2015-133977,09-06-2015,Alyssa,Tate,3.444
CA-2017-106355,04-02-2017,Alyssa,Tate,11.12
CA-2014-111360,11/24/2014,Alyssa,Tate,5.742
CA-2016-108210,5/30/2016,Annie,Thurman,79.96
CA-2014-146731,11-03-2014,Annie,Thurman,3.488
CA-2014-146500,8/30/2014,Annie,Thurman,25.3
CA-2017-106824,07-07-2017,Annie,Thurman,5.94
CA-2017-103443,12/17/2017,Annie,Thurman,166.72
CA-2016-116603,7/17/2016,Annie,Thurman,45.96
CA-2015-123113,11/23/2015,Annie,Thurman,2625.12
CA-2016-112893,09-09-2016,Annie,Thurman,55.36
CA-2017-135034,08-01-2017,Annie,Thurman,95.984
CA-2017-153787,5/19/2017,Annie,Thurman,97.16
CA-2015-129112,11/29/2015,Anthony,Witt,21.48
CA-2017-143798,12-10-2017,Anthony,Witt,10.368
CA-2015-149678,4/13/2015,Anthony,Witt,12.88
CA-2017-123001,09-02-2017,Anthony,Witt,9.4
CA-2016-136812,11/18/2016,Arthur,Wiediger,1117.92
US-2014-103905,7/14/2014,Arthur,Wiediger,29.932
CA-2015-144519,11/13/2015,Arthur,Wiediger,339.96
CA-2016-120824,06-12-2016,Arthur,Wiediger,64.384
CA-2016-163216,10-07-2016,Arthur,Wiediger,4.928
CA-2017-107321,8/31/2017,Arthur,Wiediger,6.672
US-2017-118157,11/14/2017,Arthur,Wiediger,15.28
CA-2014-102652,04-06-2014,Andy,Yotov,91.96
CA-2014-101427,12/26/2014,Andy,Yotov,8.016
CA-2016-139934,12/18/2016,Andy,Yotov,66.976
CA-2017-137428,12/16/2017,Andy,Yotov,81.568
CA-2014-148586,3/25/2014,Annie,Zypern,366.786
CA-2016-100993,02-05-2016,Annie,Zypern,14.73
CA-2015-151253,4/22/2015,Annie,Zypern,88.776
CA-2014-158442,3/17/2014,Annie,Zypern,4.448
CA-2015-130876,05-12-2015,Annie,Zypern,36.63
CA-2017-110940,7/23/2017,Annie,Zypern,121.536
CA-2015-141810,11-02-2015,Barry,Blumstein,29.372
CA-2014-169642,7/27/2014,Barry,Blumstein,276.28
US-2017-112928,06-01-2017,Barry,Blumstein,17.48
CA-2016-103947,04-01-2016,Barry,Blumstein,31.56
CA-2017-118136,9/16/2017,Barry,Blumstein,8.82
CA-2017-130043,9/15/2017,Brenda,Bowman,31.872
CA-2016-124506,11-11-2016,Brenda,Bowman,95.968
CA-2015-107083,11/21/2015,Brenda,Bowman,5.344
CA-2015-115168,06-05-2015,Brenda,Bowman,10.56
CA-2017-158561,11-11-2017,Brenda,Bowman,1158.12
CA-2016-169838,11/25/2016,Brenda,Bowman,1568.61
US-2017-118941,08-12-2017,Brenda,Bowman,17.52
CA-2016-155166,12/26/2016,Brenda,Bowman,212.94
CA-2017-102379,12-02-2017,Brenda,Bowman,39.992
CA-2014-147543,07-06-2014,Becky,Castell,478.48
CA-2016-143910,08-12-2016,Becky,Castell,145.764
CA-2014-113859,9/13/2014,Becky,Castell,340.116
US-2016-134369,9/16/2016,Becky,Castell,12.96
CA-2016-149335,7/25/2016,Becky,Castell,37.17
CA-2016-123050,04-04-2016,Becky,Castell,82.64
US-2017-120418,06-11-2017,Becky,Castell,280.792
CA-2017-113530,5/19/2017,Becky,Castell,681.408
CA-2015-158351,6/20/2015,Becky,Castell,319.984
CA-2016-110086,9/18/2016,Bill,Donatelli,239.984
CA-2016-130680,6/24/2016,Bill,Donatelli,38.24
CA-2016-148593,6/16/2016,Bill,Donatelli,46.35
CA-2016-119165,10/31/2016,Bill,Donatelli,492.835
CA-2016-136406,4/15/2016,Bill,Donatelli,1121.568
CA-2017-117485,9/23/2017,Bill,Donatelli,291.96
CA-2017-122735,04-12-2017,Bill,Donatelli,29.7
CA-2016-167241,8/15/2016,Bill,Donatelli,312.03
CA-2015-121699,08-10-2015,Bill,Donatelli,64.75
CA-2017-158071,06-10-2017,Bill,Donatelli,88.776
CA-2017-107125,11/27/2017,Bill,Donatelli,117.488
CA-2015-120677,5/31/2015,Bill,Donatelli,2567.84
US-2017-133312,11/25/2017,Bradley,Drucker,359.499
US-2014-151015,10/14/2014,Bradley,Drucker,322.192
US-2017-105935,1/26/2017,Bradley,Drucker,62.72
CA-2014-140795,02-01-2014,Bradley,Drucker,468.9
CA-2015-117828,12/23/2015,Bradley,Drucker,194.32
CA-2015-167696,9/16/2015,Bradley,Drucker,31.12
CA-2015-163923,5/30/2015,Brendan,Dodson,151.96
CA-2017-124716,3/27/2017,Brendan,Dodson,45.68
CA-2016-105746,12/30/2016,Brian,Dahlen,170.786
CA-2014-157147,1/13/2014,Brian,Dahlen,1325.85
US-2015-123960,06-11-2015,Brian,Dahlen,53.7
CA-2015-158792,12/26/2015,Brian,Dahlen,22.2
CA-2017-144694,9/24/2017,Brian,Dahlen,17.88
CA-2016-112102,04-12-2016,Brian,Dahlen,343.92
US-2014-164406,8/15/2014,Brian,Dahlen,152.91
CA-2016-157686,10-01-2016,Brian,DeCherney,194.848
CA-2017-100202,12/31/2016,Brian,DeCherney,302.376
CA-2017-130211,10/22/2017,Brian,DeCherney,333.09
CA-2016-111941,12/25/2016,Brian,DeCherney,33.568
CA-2016-111976,03-08-2016,Brian,DeCherney,108.576
CA-2014-152254,6/30/2014,Brian,DeCherney,310.688
CA-2015-110814,12-05-2015,Brian,Derr,232.4
CA-2014-152422,10-05-2014,Brian,Derr,91.92
CA-2017-109589,12/21/2017,Brian,Derr,71
CA-2016-165015,2/25/2016,Bruce,Degenhardt,46.72
CA-2015-128139,07-03-2015,Bruce,Degenhardt,70.98
CA-2017-125472,5/30/2017,Bruce,Degenhardt,241.96
CA-2017-101574,9/28/2017,Bruce,Degenhardt,9.24
CA-2017-168396,08-03-2017,Bruce,Degenhardt,51.75
CA-2017-146192,4/22/2017,Bruce,Degenhardt,675.06
CA-2017-145338,1/29/2017,Bryan,Davis,4.768
CA-2016-165918,09-10-2016,Bryan,Davis,7.38
CA-2017-115105,02-06-2017,Bryan,Davis,240.784
CA-2016-148698,05-02-2016,Bryan,Davis,86.352
CA-2016-124667,11-11-2016,Bryan,Davis,59.97
