customer_id,customer_name,order_id,order_date,total_amount
AC-10450,Amy Cox,CA-2017-158729,12/19/2017,1665.62
AC-10450,Amy Cox,CA-2015-164441,11-08-2015,52.272
AC-10450,Amy Cox,US-2015-106495,6/15/2015,11.672
AC-10450,Amy Cox,CA-2016-116232,9/22/2016,7.506
AC-10450,Amy Cox,US-2014-167262,10/31/2014,742.336
AC-10615,Ann Chong,CA-2017-136007,2/23/2017,8.4
AC-10615,Ann Chong,CA-2015-100734,9/15/2015,3.576
AC-10615,Ann Chong,CA-2017-169411,12/24/2017,37.93
AC-10615,Ann Chong,CA-2017-157987,09-02-2017,23.1
AC-10615,Ann Chong,CA-2017-101637,3/24/2017,12.768
AC-10660,Anna Chung,CA-2016-158617,9/22/2016,35.88
AC-10660,Anna Chung,CA-2017-135650,3/23/2017,143.728
AC-10660,Anna Chung,CA-2016-134544,3/17/2016,84.784
AC-10660,Anna Chung,CA-2016-161928,6/27/2016,201.584
AC-10660,Anna Chung,US-2014-122021,10/15/2014,183.372
AD-10180,Alan Dominguez,CA-2017-143245,12-01-2017,19.44
AD-10180,Alan Dominguez,US-2017-136784,4/30/2017,163.96
AD-10180,Alan Dominguez,CA-2017-160416,11/13/2017,163.96
AD-10180,Alan Dominguez,CA-2015-120439,6/14/2015,51.072
AD-10180,Alan Dominguez,CA-2015-124268,07-04-2015,15.48
AD-10180,Alan Dominguez,CA-2017-127432,1/22/2017,2999.95
AD-10180,Alan Dominguez,US-2014-152030,12/26/2014,600.558
AD-10180,Alan Dominguez,CA-2014-128062,11/19/2014,5.88
AF-10870,Art Ferguson,CA-2016-126270,4/23/2016,18.088
AF-10870,Art Ferguson,US-2017-139969,11/19/2017,233.058
AF-10870,Art Ferguson,CA-2017-167871,11/18/2017,44.384
AF-10870,Art Ferguson,CA-2016-139234,05-06-2016,3.208
AF-10870,Art Ferguson,CA-2016-146934,5/22/2016,345
AF-10870,Art Ferguson,CA-2015-168634,12-06-2015,7.78
AF-10870,Art Ferguson,CA-2017-125269,4/24/2017,10.43
AF-10885,Art Foster,CA-2014-114181,05-10-2014,349.965
AF-10885,Art Foster,CA-2014-103702,09-12-2014,63.924
AF-10885,Art Foster,CA-2016-115588,11-10-2016,14.72
AF-10885,Art Foster,CA-2015-114300,10/13/2015,83.72
AG-10270,Alejandro Grove,CA-2014-167164,5/13/2014,55.5
AG-10270,Alejandro Grove,CA-2016-105732,9/13/2016,40.74
AG-10270,Alejandro Grove,CA-2014-103058,7/23/2014,99.98
AG-10270,Alejandro Grove,CA-2015-153738,9/20/2015,37.68
AG-10270,Alejandro Grove,CA-2017-139416,3/27/2017,15.008
AG-10300,Aleksandra Gannaway,CA-2015-166800,11/19/2015,31.08
AG-10300,Aleksandra Gannaway,CA-2014-147298,4/26/2014,230.28
AG-10300,Aleksandra Gannaway,CA-2017-161823,09-03-2017,5.96
AG-10300,Aleksandra Gannaway,CA-2016-143749,12-05-2016,81.94
AG-10330,Alex Grayson,CA-2017-107748,12-10-2017,95.84
AG-10330,Alex Grayson,CA-2017-142909,12/22/2017,182.55
AG-10330,Alex Grayson,CA-2017-108287,12/18/2017,12.672
AG-10330,Alex Grayson,CA-2016-104150,08-03-2016,81.54
AG-10330,Alex Grayson,CA-2017-104927,12/22/2017,25.92
AG-10390,Allen Goldenen,CA-2017-107244,09-07-2017,19.76
AG-10390,Allen Goldenen,CA-2014-125171,09-03-2014,14.4
AG-10390,Allen Goldenen,CA-2014-158470,4/19/2014,58.05
AG-10390,Allen Goldenen,CA-2016-109820,11/20/2016,15.696
AG-10390,Allen Goldenen,CA-2016-136483,12-01-2016,4.704
AG-10495,Andrew Gjertsen,CA-2017-132976,10/13/2017,11.648
AG-10495,Andrew Gjertsen,CA-2015-142692,10/23/2015,3.592
AG-10495,Andrew Gjertsen,CA-2015-104241,01-04-2015,192.22
AG-10495,Andrew Gjertsen,CA-2015-118738,10/24/2015,15.552
AG-10495,Andrew Gjertsen,CA-2015-156146,10/26/2015,105.584
AG-10495,Andrew Gjertsen,CA-2016-168921,10/20/2016,19.296
AG-10495,Andrew Gjertsen,CA-2015-162201,06-08-2015,173.488
AG-10495,Andrew Gjertsen,CA-2015-111948,11-11-2015,418.32
AG-10525,Andy Gerbode,CA-2014-158281,09-02-2014,559.71
AG-10525,Andy Gerbode,CA-2015-164084,09-07-2015,70.26
AG-10525,Andy Gerbode,CA-2015-169572,09-06-2015,46.62
AG-10525,Andy Gerbode,CA-2014-167850,08-09-2014,178.384
AG-10675,Anna Gayman,CA-2016-108987,09-08-2016,35.952
AG-10675,Anna Gayman,CA-2017-101483,7/29/2017,34.848
AG-10675,Anna Gayman,CA-2015-137512,05-07-2015,244.006
AG-10675,Anna Gayman,US-2017-146822,06-09-2017,49.12
AG-10675,Anna Gayman,CA-2016-133368,1/14/2016,89.568
AG-10675,Anna Gayman,CA-2017-163335,9/24/2017,40.29
AG-10675,Anna Gayman,US-2017-104094,09-07-2017,13.48
AG-10765,Anthony Garverick,CA-2015-110947,06-09-2015,113.1
AG-10765,Anthony Garverick,CA-2017-126123,10/14/2017,27.396
AG-10765,Anthony Garverick,CA-2015-113222,11-09-2015,10.74
AG-10765,Anthony Garverick,US-2014-158638,9/17/2014,5.892
AG-10900,Arthur Gainer,US-2014-119137,7/23/2014,8.16
AG-10900,Arthur Gainer,CA-2015-130785,09-05-2015,411.332
AG-10900,Arthur Gainer,CA-2015-148376,12/27/2015,106.96
AG-10900,Arthur Gainer,CA-2015-115399,12/19/2015,6.912
AG-10900,Arthur Gainer,CA-2015-136728,9/13/2015,7.824
AG-10900,Arthur Gainer,CA-2017-116939,9/25/2017,177.55
AG-10900,Arthur Gainer,CA-2017-161557,09-03-2017,108.4
AG-10900,Arthur Gainer,CA-2016-158435,5/17/2016,65.17
AG-10900,Arthur Gainer,CA-2017-110198,05-01-2017,314.352
AG-10900,Arthur Gainer,CA-2016-160108,12-08-2016,405.86
AH-10030,Aaron Hawkins,CA-2015-130113,12/27/2015,323.1
AH-10030,Aaron Hawkins,CA-2014-113768,5/13/2014,279.456
AH-10030,Aaron Hawkins,US-2014-158400,10/25/2014,49.408
AH-10030,Aaron Hawkins,CA-2014-157644,12/31/2014,34.77
AH-10030,Aaron Hawkins,CA-2014-122070,4/22/2014,247.84
AH-10030,Aaron Hawkins,CA-2016-162747,3/20/2016,86.45
AH-10030,Aaron Hawkins,CA-2017-164000,12/18/2017,18.704
AH-10075,Adam Hart,CA-2017-165029,11/26/2017,12.84
AH-10075,Adam Hart,CA-2017-118857,4/15/2017,196.45
AH-10075,Adam Hart,CA-2016-149797,9/15/2016,841.568
AH-10075,Adam Hart,CA-2017-112004,9/25/2017,8.595
AH-10075,Adam Hart,CA-2015-161795,12/21/2015,3.008
AH-10075,Adam Hart,CA-2016-144015,6/26/2016,231.72
AH-10075,Adam Hart,CA-2016-147109,12/17/2016,51.84
AH-10075,Adam Hart,CA-2017-125451,10/23/2017,240.744
AH-10075,Adam Hart,CA-2017-145702,5/19/2017,314.352
AH-10075,Adam Hart,CA-2014-160066,11/16/2014,5.22
AH-10120,Adrian Hane,CA-2017-150987,04-08-2017,244.55
AH-10120,Adrian Hane,CA-2016-145261,12/18/2016,45.24
AH-10120,Adrian Hane,CA-2017-131632,10/31/2017,5.248
AH-10120,Adrian Hane,CA-2017-151211,8/17/2017,102.93
AH-10120,Adrian Hane,CA-2016-135594,6/30/2016,50.12
AH-10120,Adrian Hane,CA-2017-107958,07-02-2017,163.96
AH-10120,Adrian Hane,CA-2014-123295,7/18/2014,259.136
AH-10195,Alan Haines,CA-2016-112697,12/18/2016,254.058
AH-10195,Alan Haines,CA-2017-154732,11-05-2017,16.03
AH-10195,Alan Haines,CA-2017-123043,8/24/2017,24.672
AH-10195,Alan Haines,CA-2015-125185,03-05-2015,99.372
AH-10210,Alan Hwang,CA-2015-165050,12-07-2015,21.36
AH-10210,Alan Hwang,CA-2017-104080,03-08-2017,171.2
AH-10210,Alan Hwang,CA-2017-166919,11/23/2017,195.96
AH-10210,Alan Hwang,US-2017-148831,10/13/2017,348.56
AH-10210,Alan Hwang,CA-2017-147956,12/24/2017,1003.62
AH-10210,Alan Hwang,CA-2014-153983,11/29/2014,575.92
AH-10210,Alan Hwang,CA-2016-166485,2/20/2016,16.496
AH-10210,Alan Hwang,CA-2015-155040,11-10-2015,79.9
AH-10210,Alan Hwang,CA-2017-146983,09-02-2017,1577.94
AH-10465,Amy Hunt,CA-2017-145275,04-02-2017,14.94
AH-10465,Amy Hunt,CA-2017-115546,5/14/2017,539.97
AH-10465,Amy Hunt,CA-2015-151547,1/17/2015,88.96
AH-10465,Amy Hunt,CA-2016-126165,05-05-2016,71.088
AH-10465,Amy Hunt,CA-2015-141243,01-03-2015,398.4
AH-10585,Angele Hood,US-2017-152492,07-06-2017,239.24
AH-10585,Angele Hood,CA-2017-109715,12-09-2017,15.984
AH-10585,Angele Hood,CA-2014-162278,10/26/2014,63.92
AH-10585,Angele Hood,CA-2016-160479,9/15/2016,35.4
AH-10690,Anna HÃ¤berlin,CA-2016-148740,11/15/2016,361.376
AH-10690,Anna HÃ¤berlin,CA-2016-158869,08-06-2016,70.88
AH-10690,Anna HÃ¤berlin,CA-2015-113628,11-12-2015,11.76
AH-10690,Anna HÃ¤berlin,CA-2015-110548,05-04-2015,946.344
AH-10690,Anna HÃ¤berlin,CA-2015-112214,08-05-2015,33.488
AH-10690,Anna HÃ¤berlin,CA-2016-113831,5/30/2016,2275.5
AH-10690,Anna HÃ¤berlin,CA-2015-166604,5/15/2015,17.94
AH-10690,Anna HÃ¤berlin,CA-2014-160276,04-02-2014,177.68
AH-10690,Anna HÃ¤berlin,CA-2016-145709,10-04-2016,52.68
AH-10690,Anna HÃ¤berlin,CA-2016-144148,7/31/2016,863.128
AH-10690,Anna HÃ¤berlin,CA-2016-138282,5/19/2016,87.84
AH-10690,Anna HÃ¤berlin,CA-2015-139780,12/31/2015,116.4
AI-10855,Arianne Irving,CA-2014-102330,12/29/2014,88.8
AI-10855,Arianne Irving,CA-2014-131387,4/28/2014,1679.96
AI-10855,Arianne Irving,CA-2015-158918,12/20/2015,17.12
AI-10855,Arianne Irving,CA-2017-155929,09-09-2017,6.368
AI-10855,Arianne Irving,CA-2014-159709,05-10-2014,158.13
AI-10855,Arianne Irving,CA-2016-158694,11-10-2016,67.71
AI-10855,Arianne Irving,CA-2017-107552,05-05-2017,6.68
AI-10855,Arianne Irving,CA-2017-116855,12/17/2017,504.9
AI-10855,Arianne Irving,US-2017-160759,12-11-2017,63.686
AI-10855,Arianne Irving,CA-2015-167479,3/14/2015,19.44
AJ-10780,Anthony Jacobs,CA-2014-149020,01-10-2014,2.89
AJ-10780,Anthony Jacobs,CA-2016-123617,11/28/2016,7.434
AJ-10780,Anthony Jacobs,CA-2014-141313,12/28/2014,1737.18
AJ-10780,Anthony Jacobs,US-2017-133361,5/14/2017,3.76
AJ-10780,Anthony Jacobs,CA-2014-108609,10/31/2014,1421.664
AJ-10780,Anthony Jacobs,CA-2017-111577,10/16/2017,307.776
AJ-10780,Anthony Jacobs,CA-2015-165554,5/18/2015,10.86
AJ-10795,Anthony Johnson,CA-2016-123015,12/26/2016,4.992
AJ-10795,Anthony Johnson,CA-2017-142342,7/17/2017,32.4
AJ-10795,Anthony Johnson,CA-2016-123946,09-12-2016,20.7
AJ-10795,Anthony Johnson,CA-2016-138079,1/22/2016,109.9
AJ-10795,Anthony Johnson,CA-2014-110786,12/29/2014,24.9
AJ-10795,Anthony Johnson,CA-2016-134474,01-05-2016,191.472
AJ-10795,Anthony Johnson,CA-2014-106810,5/14/2014,310.88
AJ-10945,Ashley Jarboe,CA-2014-155852,03-03-2014,19.456
AJ-10945,Ashley Jarboe,CA-2017-133004,8/31/2017,638.73
AJ-10945,Ashley Jarboe,CA-2016-115378,11/18/2016,301.96
AJ-10945,Ashley Jarboe,US-2015-132836,06-01-2015,299.98
AJ-10945,Ashley Jarboe,CA-2015-126347,12/14/2015,50
AJ-10945,Ashley Jarboe,CA-2015-164497,11/28/2015,45.28
AJ-10945,Ashley Jarboe,CA-2017-137421,10-06-2017,9.344
AJ-10960,Astrea Jones,CA-2014-131800,12/30/2014,122.94
AJ-10960,Astrea Jones,CA-2017-123246,10/17/2017,10.64
AJ-10960,Astrea Jones,CA-2014-113362,9/14/2014,449.15
AM-10360,Alice McCarthy,CA-2016-157000,7/16/2016,37.224
AM-10360,Alice McCarthy,CA-2017-109701,12-02-2017,9.024
AM-10360,Alice McCarthy,US-2015-107944,3/23/2015,192.72
AM-10360,Alice McCarthy,CA-2014-132542,10-06-2014,15.36
AM-10360,Alice McCarthy,CA-2017-161340,5/28/2017,13.872
AM-10705,Anne McFarland,CA-2017-104731,7/21/2017,101.94
AM-10705,Anne McFarland,CA-2017-157903,04-04-2017,383.84
AM-10705,Anne McFarland,CA-2015-138457,9/13/2015,13.092
AM-10705,Anne McFarland,CA-2015-151470,9/20/2015,45.584
AM-10705,Anne McFarland,CA-2015-100573,9/25/2015,17.48
AM-10705,Anne McFarland,CA-2014-145387,10/31/2014,49.25
AM-10705,Anne McFarland,US-2017-124821,6/25/2017,871.4
AM-10705,Anne McFarland,CA-2016-145905,9/18/2016,350.98
AO-10810,Anthony O'Donnell,CA-2016-148096,8/16/2016,161.28
AP-10720,Anne Pryor,CA-2016-120250,9/19/2016,25.632
AP-10720,Anne Pryor,CA-2017-143021,11/19/2017,58.408
AP-10720,Anne Pryor,CA-2016-154403,5/23/2016,4.98
AP-10720,Anne Pryor,CA-2014-127964,03-03-2014,9.99
AP-10720,Anne Pryor,US-2016-114174,09-08-2016,173.94
AP-10720,Anne Pryor,US-2015-165449,11/22/2015,27.168
AP-10720,Anne Pryor,US-2016-103674,12-06-2016,271.96
AP-10720,Anne Pryor,CA-2016-136322,10/21/2016,45.568
AP-10915,Arthur Prichep,US-2017-132059,9/23/2017,180.588
AP-10915,Arthur Prichep,CA-2016-168893,11-03-2016,20
AP-10915,Arthur Prichep,US-2016-164588,4/16/2016,12.84
AP-10915,Arthur Prichep,CA-2014-113047,10/24/2014,11.85
AP-10915,Arthur Prichep,CA-2014-146969,9/29/2014,204.6
AP-10915,Arthur Prichep,CA-2017-146136,09-03-2017,24.448
AP-10915,Arthur Prichep,CA-2016-128412,12-10-2016,153.552
AP-10915,Arthur Prichep,CA-2014-124737,8/23/2014,15.552
AP-10915,Arthur Prichep,CA-2017-168228,4/27/2017,123.92
AP-10915,Arthur Prichep,CA-2014-105270,11-11-2014,30.48
AR-10345,Alex Russell,CA-2017-126396,09-08-2017,85.2
AR-10345,Alex Russell,CA-2017-126438,09-10-2017,14.88
AR-10345,Alex Russell,US-2014-115189,12/30/2014,251.964
AR-10345,Alex Russell,CA-2015-139374,09-10-2015,179.886
AR-10405,Allen Rosenblatt,CA-2017-149468,5/20/2017,41.28
AR-10405,Allen Rosenblatt,CA-2015-164427,7/31/2015,239.7
AR-10405,Allen Rosenblatt,CA-2014-157882,10-03-2014,143.432
AR-10405,Allen Rosenblatt,CA-2017-140844,6/19/2017,97.82
AR-10405,Allen Rosenblatt,US-2017-134481,8/27/2017,1488.424
AR-10510,Andrew Roberts,US-2014-105767,5/23/2014,3.282
AR-10510,Andrew Roberts,CA-2015-112319,8/31/2015,58.32
AR-10510,Andrew Roberts,CA-2016-147536,12/26/2016,89.97
AR-10510,Andrew Roberts,CA-2017-111808,12/16/2017,10.8
AR-10510,Andrew Roberts,CA-2014-115056,05-02-2014,26.136
AR-10540,Andy Reiter,CA-2017-138289,1/16/2017,5443.96
AR-10540,Andy Reiter,CA-2016-138037,9/29/2016,27.24
AR-10540,Andy Reiter,US-2015-136987,04-11-2015,639.968
AR-10540,Andy Reiter,CA-2014-122588,11/25/2014,52.96
AR-10540,Andy Reiter,CA-2015-123505,11/22/2015,14.94
AR-10540,Andy Reiter,CA-2017-154935,12/24/2017,17.88
AR-10570,Anemone Ratner,CA-2016-157588,7/14/2016,36.4
AR-10825,Anthony Rawles,CA-2017-118724,7/21/2017,3.52
AR-10825,Anthony Rawles,CA-2016-132304,6/14/2016,1115.17
AR-10825,Anthony Rawles,CA-2017-141425,11-02-2017,384.592
AR-10825,Anthony Rawles,CA-2016-160745,12-11-2016,14.8
AR-10825,Anthony Rawles,CA-2015-160213,03-08-2015,19.44
AR-10825,Anthony Rawles,US-2016-148110,09-05-2016,347.802
AR-10825,Anthony Rawles,CA-2014-109218,6/30/2014,32.4
AR-10825,Anthony Rawles,US-2017-108343,7/20/2017,13.36
AS-10045,Aaron Smayling,US-2017-147655,09-04-2017,88.074
AS-10045,Aaron Smayling,CA-2016-148747,9/25/2016,477.666
AS-10045,Aaron Smayling,CA-2017-101749,10-03-2017,171.288
AS-10045,Aaron Smayling,CA-2017-113481,01-02-2017,695.7
AS-10045,Aaron Smayling,CA-2016-162901,3/28/2016,31.4
AS-10045,Aaron Smayling,CA-2017-162691,08-01-2017,1439.982
AS-10045,Aaron Smayling,US-2014-150126,7/27/2014,65.78
AS-10090,Adam Shillingsburg,CA-2016-119865,6/21/2016,36.56
AS-10090,Adam Shillingsburg,CA-2016-150007,09-11-2016,6
AS-10090,Adam Shillingsburg,CA-2014-132913,12/24/2014,13.97
AS-10090,Adam Shillingsburg,CA-2016-104311,05-02-2016,18.936
AS-10090,Adam Shillingsburg,US-2017-108063,12-02-2017,34.65
AS-10090,Adam Shillingsburg,CA-2015-127509,11-09-2015,17.22
AS-10090,Adam Shillingsburg,CA-2017-145877,04-01-2017,94.2
AS-10090,Adam Shillingsburg,CA-2017-136448,9/16/2017,71.976
AS-10090,Adam Shillingsburg,CA-2014-156160,9/22/2014,97.44
AS-10135,Adrian Shami,CA-2016-149461,11/13/2016,4.18
AS-10135,Adrian Shami,CA-2017-162929,11/19/2017,41.28
AS-10225,Alan Schoenberger,CA-2015-144253,05-04-2015,26.8
AS-10225,Alan Schoenberger,CA-2014-110408,10/18/2014,275.97
AS-10225,Alan Schoenberger,CA-2017-112515,9/17/2017,10.776
AS-10225,Alan Schoenberger,CA-2016-143154,12-02-2016,165.6
AS-10225,Alan Schoenberger,CA-2017-117926,12-08-2017,69.48
AS-10240,Alan Shonely,CA-2014-128538,10-11-2014,7.64
AS-10240,Alan Shonely,CA-2015-150749,3/29/2015,5.56
AS-10240,Alan Shonely,CA-2016-118913,6/25/2016,60.81
AS-10240,Alan Shonely,CA-2017-101049,6/21/2017,17.92
AS-10240,Alan Shonely,CA-2014-149958,3/15/2014,142.776
AS-10240,Alan Shonely,CA-2015-143700,7/26/2015,10.368
AS-10240,Alan Shonely,CA-2016-114405,04-07-2016,33.528
AS-10285,Alejandro Savely,CA-2016-163755,11-04-2016,209.88
AS-10285,Alejandro Savely,CA-2016-134775,10/28/2016,50.96
AS-10285,Alejandro Savely,US-2016-106677,11-05-2016,23.988
AS-10285,Alejandro Savely,CA-2017-149706,12-11-2017,116.312
AS-10285,Alejandro Savely,US-2016-164196,11-11-2016,2678.94
AS-10285,Alejandro Savely,CA-2016-114209,5/21/2016,1.964
AS-10630,Ann Steele,CA-2014-101392,12-07-2014,269.36
AS-10630,Ann Steele,US-2017-129224,3/17/2017,4.608
AS-10630,Ann Steele,US-2016-155404,9/22/2016,13.28
AS-10630,Ann Steele,CA-2014-162684,08-01-2014,5.68
AS-10630,Ann Steele,US-2015-146745,09-03-2015,129.568
AS-10630,Ann Steele,CA-2017-100314,9/29/2017,7.968
AS-10630,Ann Steele,CA-2017-124597,4/30/2017,4.608
AT-10435,Alyssa Tate,CA-2016-100468,11/24/2016,33.52
AT-10435,Alyssa Tate,CA-2014-120243,12/27/2014,11.56
AT-10435,Alyssa Tate,CA-2017-102407,12-09-2017,11.16
AT-10435,Alyssa Tate,CA-2015-133977,09-06-2015,3.444
AT-10435,Alyssa Tate,CA-2017-106355,04-02-2017,11.12
AT-10435,Alyssa Tate,CA-2014-111360,11/24/2014,5.742
AT-10735,Annie Thurman,CA-2016-108210,5/30/2016,79.96
AT-10735,Annie Thurman,CA-2014-146731,11-03-2014,3.488
AT-10735,Annie Thurman,CA-2014-146500,8/30/2014,25.3
AT-10735,Annie Thurman,CA-2017-106824,07-07-2017,5.94
AT-10735,Annie Thurman,CA-2017-103443,12/17/2017,166.72
AT-10735,Annie Thurman,CA-2016-116603,7/17/2016,45.96
AT-10735,Annie Thurman,CA-2015-123113,11/23/2015,2625.12
AT-10735,Annie Thurman,CA-2016-112893,09-09-2016,55.36
AT-10735,Annie Thurman,CA-2017-135034,08-01-2017,95.984
AT-10735,Annie Thurman,CA-2017-153787,5/19/2017,97.16
AW-10840,Anthony Witt,CA-2015-129112,11/29/2015,21.48
AW-10840,Anthony Witt,CA-2017-143798,12-10-2017,10.368
AW-10840,Anthony Witt,CA-2015-149678,4/13/2015,12.88
AW-10840,Anthony Witt,CA-2017-123001,09-02-2017,9.4
AW-10930,Arthur Wiediger,CA-2016-136812,11/18/2016,1117.92
AW-10930,Arthur Wiediger,US-2014-103905,7/14/2014,29.932
AW-10930,Arthur Wiediger,CA-2015-144519,11/13/2015,339.96
AW-10930,Arthur Wiediger,CA-2016-120824,06-12-2016,64.384
AW-10930,Arthur Wiediger,CA-2016-163216,10-07-2016,4.928
AW-10930,Arthur Wiediger,CA-2017-107321,8/31/2017,6.672
AW-10930,Arthur Wiediger,US-2017-118157,11/14/2017,15.28
AY-10555,Andy Yotov,CA-2014-102652,04-06-2014,91.96
AY-10555,Andy Yotov,CA-2014-101427,12/26/2014,8.016
AY-10555,Andy Yotov,CA-2016-139934,12/18/2016,66.976
AY-10555,Andy Yotov,CA-2017-137428,12/16/2017,81.568
AZ-10750,Annie Zypern,CA-2014-148586,3/25/2014,366.786
AZ-10750,Annie Zypern,CA-2016-100993,02-05-2016,14.73
AZ-10750,Annie Zypern,CA-2015-151253,4/22/2015,88.776
AZ-10750,Annie Zypern,CA-2014-158442,3/17/2014,4.448
AZ-10750,Annie Zypern,CA-2015-130876,05-12-2015,36.63
AZ-10750,Annie Zypern,CA-2017-110940,7/23/2017,121.536
BB-10990,Barry Blumstein,CA-2015-141810,11-02-2015,29.372
