first_name,last_name,city
Shahid,Hopkins,Arlington
Ben,Peterman,Arvada
Thomas,Seio,Hackensack
Andy,Gerbode,Saint Petersburg
Sung,Pak,Philadelphia
Nathan,Mautz,New York City
Frank,Atkinson,Long Beach
Grace,Kelly,Hesperia
Don,Jones,Murfreesboro
Patrick,O'Brill,Philadelphia
John,Lucas,Philadelphia
Doug,Bickford,Los Angeles
Alyssa,Crouse,San Francisco
Clay,Cheatham,San Francisco
Tamara,Dahlen,Lowell
Adam,Bellavance,New York City
Jeremy,Lonsdale,New York City
Victoria,Brennan,Columbus
Katrina,Willman,New York City
Julia,Dunbar,San Francisco
Michael,Kennedy,Manchester
Guy,Thornton,Harlingen
Arthur,Gainer,Tucson
Muhammed,MacIntyre,Quincy
Allen,Rosenblatt,Franklin
Russell,Applegate,Houston
Alejandro,Savely,San Francisco
Laura,Armstrong,Taylor
Denny,Ordway,Pembroke Pines
Dean,Katz,Philadelphia
Nathan,Gelder,Cincinnati
Mike,Vittorini,New York City
Jack,Garza,Des Moines
Bart,Pistole,Peoria
Victor,Preis,Las Vegas
Saphhira,Shifley,Warwick
Anna,Gayman,Houston
Luke,Foster,Miami
Roy,FranzÃ¶sisch,New York City
Keith,Herrera,San Francisco
Kimberly,Carter,Seattle
Caroline,Jumper,Huntington Beach
Philip,Brown,Los Angeles
Michael,Paige,Lawrence
Natalie,Fritzler,Jackson
Shirley,Daniels,New Rochelle
Ken,Heidel,San Antonio
Ross,Baird,Gastonia
Mike,Kennedy,Jacksonville
Philisse,Overcash,Chicago
Brenda,Bowman,Houston
Troy,Blackwell,Columbus
Raymond,Buch,Auburn
Ed,Braxton,Akron
Sanjit,Chand,Concord
Tanja,Norvell,Phoenix
Joni,Sundaresam,Park Ridge
Maya,Herman,Lindenhurst
Jeremy,Pistek,San Francisco
Jeremy,Ellison,Troy
John,Grady,New York City
Xylona,Preis,San Diego
Erin,Mull,New York City
Michelle,Tran,Los Angeles
Sue,Ann Reed,Chicago
Carl,Weiss,Huntsville
Astrea,Jones,Rochester
Sonia,Sunley,Seattle
Rose,O'Brian,Memphis
Maribeth,Dona,Fayetteville
Maribeth,Yedwab,Parker
Christopher,Martinez,Atlanta
Lynn,Smith,Gladstone
Bradley,Nguyen,Los Angeles
Dean,Braden,Houston
Matt,Connell,Detroit
Brian,Dahlen,Lawrence
Patricia,Hirasaki,Lakeland
Mike,Gockenbach,Philadelphia
Karen,Bern,Los Angeles
Jasper,Cacioppo,Los Angeles
Rob,Lucas,Montgomery
Allen,Armold,Mesa
Emily,Phan,Chicago
Darren,Koutras,Henderson
Bradley,Drucker,Green Bay
Liz,MacKendrick,Springfield
Adrian,Shami,New York City
Bill,Donatelli,San Francisco
Greg,Tran,Houston
Ashley,Jarboe,Wilmington
Olvera,Toch,Los Angeles
Liz,Pelletier,San Francisco
Cynthia,Arntzen,Tampa
Jeremy,Farry,Seattle
Frank,Preis,Los Angeles
Ellis,Ballard,Seattle
Jennifer,Ferguson,New York City
Sarah,Foster,Marysville
Trudy,Glocke,Long Beach
Carlos,Soltero,Chicago
Charles,Crestani,Los Angeles
Dianna,Vittorini,Denver
Bruce,Degenhardt,Richmond
Zuschuss,Carroll,Salem
Melanie,Seite,Laredo
Lena,Radford,San Diego
Theone,Pippenger,Philadelphia
Chloris,Kastensmidt,Philadelphia
Alan,Shonely,Tampa
Andrew,Roberts,Philadelphia
Nona,Balk,Dallas
Giulietta,Dortch,Philadelphia
Clytie,Kelty,Grove City
Nat,Gilpin,New York City
Christina,Anderson,Chicago
Sylvia,Foulston,Dearborn
Meg,O'Connel,New York City
Annie,Thurman,Seattle
Fred,McMath,Aurora
Denny,Joy,Warner Robins
Max,Engle,Aurora
Justin,Deggeller,Minneapolis
John,Lee,Mission Viejo
Sean,Christensen,Rochester Hills
Chuck,Clark,Columbus
Anthony,Rawles,Vancouver
Steven,Roelle,New York City
Craig,Reiter,Columbus
Eugene,Hildebrand,Aurora
Sibella,Parks,New York City
Tiffany,House,Dallas
Resi,PÃ¶lking,Cleveland
Rob,Beeghly,Columbus
Carol,Darley,Tyler
Doug,Jacobs,New York City
Grant,Thornton,Burlington
Michael,Chen,Jackson
Ralph,Arnett,New York City
Naresj,Patel,Waynesboro
Alan,Barnes,Los Angeles
Jesus,Ocampo,Chester
Jay,Kimmel,Long Beach
Brad,Norvell,Cary
David,Philippe,New York City
Tracy,Hopkins,New York City
Arthur,Prichep,Palm Coast
Roland,Schwarz,Mount Vernon
Seth,Vernon,Dover
Christine,Kargatis,Orem
Ross,DeVincentis,Los Angeles
Mathew,Reese,Philadelphia
Steve,Chapman,Hialeah
Jay,Fein,Austin
Emily,Grady,Oceanside
Darrin,Sayre,Seattle
Phillina,Ober,Naperville
Sung,Shariari,Dallas
Peter,BÃ¼hler,Evanston
Roland,Fjeld,Trenton
Yoseph,Carroll,San Francisco
Debra,Catini,Cottage Grove
Christine,Phan,New York City
Barry,FranzÃ¶sisch,Green Bay
Lisa,Hazard,Columbus
Chris,Selesnick,Bossier City
Anthony,Johnson,Saint Petersburg
Benjamin,Venier,Des Moines
Dan,Lawera,Cincinnati
Bryan,Mills,Columbus
Liz,Thompson,Lancaster
Joe,Kamberova,Asheville
Erica,Smith,San Francisco
Rick,Hansen,Rochester
Carlos,Daly,Lake Elsinore
Helen,Wasserman,San Diego
Mike,Caudle,Monroe
Gary,McGarr,San Francisco
Pauline,Johnson,Santa Ana
Bart,Watters,Milwaukee
Toby,Ritter,Belleville
Patrick,Gardner,San Francisco
James,Lanier,Columbia
Brian,Moss,New York City
Eudokia,Martin,Los Angeles
Art,Foster,Louisville
Guy,Armstrong,Lorain
Cyma,Kinney,Linden
Dave,Poirier,Salinas
Berenike,Kampe,New York City
Sanjit,Jacobs,New Brunswick
Chuck,Magee,San Francisco
Anthony,Jacobs,Springfield
Linda,Southworth,Philadelphia
Guy,Phonely,Lancaster
Paul,Knutson,Philadelphia
Sally,Matthias,New York City
Anthony,Garverick,Philadelphia
Peter,McVee,Detroit
Lauren,Leatherbury,Rochester
Jill,Stevenson,Los Angeles
Ed,Ludwig,Columbia
Pamela,Coakley,San Francisco
Hunter,Lopez,Houston
Maribeth,Schnelling,Detroit
George,Bell,Auburn
Justin,Ritter,Springfield
Bill,Eplett,Jackson
Sample,Company A,Norwich
Rob,Williams,Dallas
Sanjit,Engle,New York City
Adam,Hart,New York City
Jessica,Myrick,Philadelphia
Joel,Jenkins,Springfield
Ralph,Kennedy,Philadelphia
Catherine,Glotzbach,Philadelphia
Rachel,Payne,Riverside
Karen,Carlisle,San Francisco
Katherine,Hughes,Philadelphia
Greg,Hansen,Round Rock
Scott,Williamson,Jackson
Joseph,Airdo,Phoenix
Daniel,Lacy,Oceanside
Lindsay,Williams,San Francisco
Thomas,Brumley,Fayetteville
Bryan,Spruell,New York City
Robert,Waldorf,Wilmington
Tracy,Zic,Louisville
Ann,Steele,Pasadena
Toby,Swindell,Houston
Sara,Luxemburg,Jacksonville
Mitch,Willingham,Virginia Beach
Rob,Dowd,Henderson
Ryan,Akin,Murrieta
Meg,Tillman,Scottsdale
Vivek,Gonzalez,San Diego
John,Stevenson,Seattle
Kalyca,Meade,New York City
Hallie,Redmond,Los Angeles
Deanra,Eno,Springfield
Allen,Goldenen,Cincinnati
Jennifer,Jackson,Los Angeles
Jennifer,Halladay,Burlington
Robert,Dilbeck,Saint Peters
Mary,O'Rourke,New York City
Noel,Staavos,Chicago
Deirdre,Greer,Philadelphia
Nicole,Fjeld,New York City
Matthew,Grinstein,Philadelphia
Theresa,Swint,Toledo
Brian,DeCherney,San Francisco
Charles,McCrossin,Brownsville
Skye,Norling,Los Angeles
Erica,Hernandez,Denver
Frank,Olsen,New York City
Maurice,Satty,Mesa
Chad,Cunningham,Columbus
Don,Weiss,Seattle
Bill,Tyler,Detroit
Craig,Yedwab,Oakland
Brad,Thomas,Clinton
Penelope,Sewall,Charlotte
Paul,Van Hugh,San Francisco
Neoma,Murray,Riverside
Dionis,Lloyd,San Francisco
Christine,Sundaresam,Roswell
Frank,Hawley,La Porte
Nat,Carroll,Lansing
Alex,Avila,Minneapolis
Larry,Tron,Escondido
Anne,Pryor,New York City
Paul,MacIntyre,Jackson
Alyssa,Tate,Los Angeles
Cathy,Armstrong,Houston
Harold,Ryan,Seattle
Bradley,Talbott,Los Angeles
Larry,Hughes,Charlotte
Steven,Ward,New York City
Stefania,Perrino,Philadelphia
Ben,Ferrer,Los Angeles
Kean,Thornton,Buffalo
Brooke,Gillingham,Cincinnati
Greg,Matthias,Seattle
Eva,Jacobs,Gulfport
Nora,Preis,Fresno
Mick,Hernandez,Chester
Jocasta,Rupert,Jacksonville
Suzanne,McNair,Greenville
Chris,Cortes,La Porte
Phillip,Flathmann,San Francisco
Dan,Campbell,Florence
Bryan,Davis,Houston
Gene,McClure,Providence
Todd,Boyes,New York City
Justin,Hirsh,Pueblo
Erica,Bern,Fairfield
Quincy,Jones,Saint Paul
Tracy,Collins,Arlington
Chuck,Sachs,Columbus
Henry,Goldwyn,Los Angeles
Laurel,Workman,Deltona
Matt,Collins,Cincinnati
Liz,Preis,Murray
Evan,Bailliet,Wilmington
George,Zrebassa,Lawrence
Cathy,Prescott,Norwich
Frank,Gastineau,San Francisco
Lisa,DeCherney,San Francisco
Alejandro,Ballentine,Lorain
Michael,Nguyen,Dallas
Jim,Radford,Middletown
Jamie,Frazer,Los Angeles
Chad,McGuire,New York City
Aaron,Smayling,Jacksonville
Beth,Paige,Evanston
Natalie,DeCherney,Louisville
Larry,Blacks,Fort Worth
Kean,Takahito,Los Angeles
Harry,Marie,Philadelphia
Ann,Blume,Tucson
Sam,Zeldin,Pico Rivera
Michael,Granlund,Clinton
Julie,Kriz,Aurora
Paul,Prost,Smyrna
Yana,Sorensen,Burlington
Katherine,Murray,Salem
Adrian,Barton,Phoenix
Helen,Abelman,New York City
Beth,Thompson,Costa Mesa
Stuart,Van,Houston
Rick,Wilson,Mesa
Damala,Kotsonis,Salinas
Shui,Tom,Parma
Michael,Moore,San Francisco
Pauline,Webber,Richmond
Shaun,Chance,Aurora
Thais,Sissman,Phoenix
Mark,Cousins,Mobile
Maria,Etezadi,Columbus
Nicole,Hansen,Irving
Mick,Brown,Vineland
Keith,Dawkins,New York City
Katherine,Nockton,Los Angeles
Nora,Pelletier,Niagara Falls
Cindy,Stewart,Thomasville
Maxwell,Schwartz,New York City
Corinna,Mitchell,Los Angeles
Corey-Lock,,Philadelphia
Todd,Sumrall,New York City
Jane,Waco,Vancouver
John,Dryer,Coppell
Pauline,Chand,Los Angeles
Andy,Reiter,New York City
Arianne,Irving,Philadelphia
Tom,Boeckenhauer,Seattle
Paul,Lucas,Chicago
Gary,Hwang,Tucson
Mike,Pelletier,Laguna Niguel
Jim,Mitchum,Bridgeton
Carl,Ludwig,Everett
Deborah,Brumfield,San Diego
Ivan,Gibson,San Diego
Bobby,Odegard,Richmond
Aimee,Bixby,Long Beach
Julia,West,Philadelphia
Edward,Becker,Seattle
Sheri,Gordon,New York City
Charlotte,Melton,Philadelphia
Anthony,Witt,Allen
Mick,Crebagga,El Paso
Tonja,Turnell,Aurora
Vivek,Grady,Virginia Beach
Muhammed,Yedwab,Grapevine
Rick,Duston,Olympia
Dennis,Pardue,Peoria
Marina,Lichtenstein,Los Angeles
Jenna,Caffey,Kent
James,Galang,Los Angeles
Marc,Crier,Lafayette
Natalie,Webber,Tigard
Toby,Braunhardt,Washington
Bill,Stewart,Skokie
Hilary,Holden,San Francisco
Christina,DeMoss,Seattle
Thea,Hendricks,Los Angeles
Michelle,Moray,Seattle
Neola,Schneider,Dallas
Robert,Barroso,North Las Vegas
Shaun,Weien,Suffolk
Eric,Barreto,San Francisco
Pamela,Stobb,Los Angeles
Herbert,Flentye,Indianapolis
Henia,Zydlo,Columbus
Cynthia,Delaney,San Diego
Jamie,Kunitz,San Francisco
Filia,McAdams,Dublin
Emily,Ducich,San Diego
Dianna,Arnett,Houston
Joni,Wasserman,Oakland
Raymond,Messe,Houston
Max,Ludwig,Suffolk
Craig,Carroll,Greensboro
Jim,Epp,Milwaukee
Roy,Phan,Kenosha
Thomas,Boland,Houston
Brad,Eason,Olathe
Jill,Fjeld,Dallas
Phillip,Breyer,Tulsa
Brian,Thompson,Newark
Janet,Lee,Chicago
Cathy,Hwang,Raleigh
Neil,Ducich,Macon
Barbara,Fisher,Charlotte
Katharine,Harms,Bowling Green
Giulietta,Weimer,Seattle
Noah,Childs,Aurora
Michelle,Ellison,San Francisco
Benjamin,Patterson,Spokane
John,Castell,San Antonio
Adam,Shillingsburg,Charlottesville
Amy,Cox,Minneapolis
Michael,Dominguez,Indianapolis
Duane,Benoit,Oceanside
Erica,Hackney,Roswell
Edward,Hooks,Watertown
Scot,Coram,Arlington
Joe,Elijah,Broomfield
Ann,Chong,New York City
Joy,Daniels,Chicago
Christy,Brittain,Columbus
Joy,Smith,Houston
Luke,Weiss,Pasadena
Stuart,Calhoun,Houston
Anne,McFarland,Auburn
Rick,Huthwaite,Providence
Carol,Triggs,Rochester
Matt,Collister,Perth Amboy
Corey,Catlett,Philadelphia
Kelly,Andreada,Ontario
Tamara,Chand,Seattle
Bart,Folk,Baltimore
Magdelene,Morse,Wilmington
Adrian,Hane,Tucson
Ben,Wallace,Boynton Beach
Scot,Wooten,Stockton
Brian,Stugart,Philadelphia
Randy,Ferguson,Dover
William,Brown,Philadelphia
Trudy,Brown,Grand Prairie
Art,Ferguson,College Station
Richard,Bierner,Saint Louis
Karen,Ferguson,Manteca
John,Huston,Kent
Ivan,Liston,San Francisco
Patrick,Bzostek,Salt Lake City
Rob,Haberlin,Huntsville
Arthur,Wiediger,Aurora
Maris,LaWare,Fairfield
Dorothy,Badders,Jacksonville
Matt,Hagelstein,San Francisco
Dennis,Kane,Marion
Bobby,Trafton,Littleton
Denny,Blanton,La Porte
Toby,Gnade,Los Angeles
Barry,Franz,Pasadena
Justin,MacKendrick,Los Angeles
Maria,Zettner,San Diego
Mitch,Webber,New York City
Mark,Van Huff,Arlington
Sean,Miller,Monroe
Tom,Prescott,Seattle
Jim,Karlsson,Seattle
Patrick,Jones,Murfreesboro
Ricardo,Sperren,Seattle
Susan,Vittorini,New York City
Becky,Castell,Peoria
Elizabeth,Moffitt,Sioux Falls
Brendan,Murry,New York City
Kristina,Nunn,Fort Collins
Kelly,Williams,Clarksville
Scott,Cohen,San Francisco
Christina,VanderZanden,Fresno
Speros,Goranitis,New York City
Tamara,Manning,San Francisco
Eleni,McCrary,Los Angeles
Michelle,Lonsdale,Albuquerque
Clay,Rozendal,Elmhurst
Annie,Zypern,New York City
Pierre,Wener,Louisville
Shahid,Collister,Seattle
Carlos,Meador,Fayetteville
Greg,Maxwell,Los Angeles
Tim,Brockman,New York City
John,Murray,Jamestown
Sonia,Cooley,Mishawaka
Luke,Schmidt,Skokie
Ralph,Ritter,San Francisco
Daniel,Byrd,Tampa
Thomas,Thornton,Houston
Lori,Olson,La Quinta
Ken,Dana,Scottsdale
Nicole,Brennan,Philadelphia
Brian,Derr,Bowling Green
Chris,McAfee,Carrollton
Edward,Nazzal,New York City
Kean,Nguyen,Jacksonville
Bill,Overfelt,Los Angeles
Aleksandra,Gannaway,Los Angeles
Matthew,Clasen,Saint Louis
Tom,Ashbrook,New York City
Jason,Fortune-,Seattle
Tim,Taslimi,Los Angeles
Sarah,Bern,New York City
Craig,Leslie,Springfield
Hunter,Glantz,Amarillo
Nancy,Lomonaco,Los Angeles
Rick,Reed,Lowell
Toby,Carlisle,San Diego
Stewart,Visinsky,Pueblo
Bobby,Elias,Lancaster
Steve,Carroll,Columbus
David,Flashing,Vallejo
Fred,Harton,Seattle
MaryBeth,Skach,San Diego
Ritsa,Hightower,Tallahassee
George,Ashbrook,San Francisco
Julie,Prescott,Columbus
Dean,percer,Murray
Michael,Oakman,Dallas
Denise,Leinenbach,Las Cruces
Michelle,Huthwaite,Seattle
Daniel,Raglin,Franklin
Darrin,Martin,Encinitas
Carol,Adams,Hoover
Anna,Chung,Huntsville
Denise,Monton,Roswell
Vicky,Freymann,Columbus
Christopher,Conant,Fayetteville
Beth,Fritzler,Tucson
Harry,Greene,Lake Charles
Becky,Pak,Columbus
Eugene,Moren,Glendale
Michelle,Arnett,Watertown
Andy,Yotov,Oceanside
Giulietta,Baptist,Philadelphia
Julia,Barnett,Columbus
Michael,Grace,New York City
Sharelle,Roach,Louisville
Joy,Bell-,Brownsville
Dario,Medina,Lincoln Park
Tony,Chapman,Columbus
Sean,Wendt,Detroit
Richard,Eichhorn,Dallas
Benjamin,Farhat,Albuquerque
Katrina,Bavinger,Apple Valley
Jason,Gross,Providence
Erin,Creighton,New York City
Eugene,Barchas,Philadelphia
Jennifer,Patt,Oceanside
Cari,Sayre,Seattle
Gary,Hansen,Glendale
Pete,Takahito,Houston
Jack,Lebron,Houston
Aaron,Hawkins,Philadelphia
Cindy,Chapman,New York City
David,Wiener,Houston
Sarah,Jordon,Grand Prairie
Bruce,Geld,Philadelphia
Laurel,Beltran,Highland Park
Candace,McMahon,Pasadena
Evan,Henry,Decatur
Tony,Sayre,Columbia
Patrick,Ryan,Oakland
Liz,Carlisle,Mission Viejo
Cindy,Schnelling,Conroe
Dave,Hallsten,Richmond
Jack,O'Briant,Philadelphia
Anna,HÃ¤berlin,New York City
Heather,Jas,Jacksonville
Mark,Hamilton,Jacksonville
Russell,D'Ascenzo,Austin
Sam,Craven,Plano
Stephanie,Ulpright,Jackson
Fred,Chung,Mesquite
Randy,Bradley,Philadelphia
Nick,Crebassa,Dallas
Darren,Budd,Los Angeles
Maureen,Fritzler,Toledo
Roland,Murray,New York City
Vivian,Mathis,Newark
Ed,Jacobs,San Diego
Nathan,Cano,Jacksonville
Lycoris,Saunders,Dover
Katrina,Edelman,Bristol
Duane,Huffman,Quincy
Peter,Fuller,Gilbert
Valerie,Takahito,Philadelphia
Maureen,Gnade,Buffalo
Susan,Pistek,Los Angeles
Charles,Sheldon,Columbia
Dana,Kaydos,Kenosha
Khloe,Miller,Roswell
Anna,Andreadi,Chester
Dorothy,Dickinson,Houston
Amy,Hunt,New York City
Tracy,Poddar,Aurora
Eileen,Kiefer,Santa Ana
Cyra,Reiten,New York City
Susan,Gilcrest,Mcallen
Angele,Hood,Chicago
Neil,FranzÃ¶sisch,Rockford
Bill,Shonely,New York City
Stefanie,Holloman,Jackson
Roger,Demir,Daytona Beach
Alex,Grayson,Stockton
Georgia,Rosenberg,San Francisco
Vivek,Sundaresam,Los Angeles
Tony,Molinari,Oklahoma City
Tom,Stivers,Los Angeles
Dennis,Bolton,New York City
Nick,Radford,Aurora
Cari,Schnelling,Jacksonville
Monica,Federle,Los Angeles
Liz,Willingham,Norwich
Alex,Russell,Lawrence
Karen,Seio,Lehi
Aaron,Bergman,Seattle
Lisa,Ryan,Philadelphia
Shahid,Shariari,Los Angeles
Jill,Matthias,Monroe
Jason,Klamczynski,Dallas
Don,Miller,Houston
Muhammed,Lee,Seattle
Marc,Harrigan,Los Angeles
Frank,Carlisle,Lakewood
Thea,Hudgings,Philadelphia
Juliana,Krohn,Omaha
Sarah,Brown,Concord
Barry,Gonzalez,Monroe
Barry,Weirich,Raleigh
Mitch,Gastineau,Jacksonville
Doug,O'Connell,Los Angeles
Barry,Pond,Cranston
Trudy,Schmidt,Milwaukee
Evan,Minnotte,Virginia Beach
Anthony,O'Donnell,Los Angeles
Mark,Haberlin,New York City
Shirley,Schmidt,Louisville
Lela,Donovan,Chicago
Victoria,Pisteka,San Francisco
Theresa,Coyne,Lakewood
Ionia,McGrath,Roseville
Anemone,Ratner,Columbus
Craig,Molinari,Huntsville
Fred,Wasserman,Huntsville
Lindsay,Castell,Arlington
Harold,Engle,Chicago
Brendan,Dodson,Fresno
Harold,Dahlen,Philadelphia
Carl,Jackson,Philadelphia
Roy,Skaria,Burlington
Sung,Chung,Arlington Heights
Ricardo,Emerson,Kent
Susan,MacKendrick,Newark
