order_id,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
US-2014-109036,2014-12-20,2014-12-25,Standard Class,KH-16510,Keith Herrera,Consumer,United States,Seattle,Washington,98103,West,OFF-LA-10002043,Office Supplies,Labels,Avery 489,31.05,3,0,14.904
CA-2014-110849,2014-04-18,2014-04-23,Standard Class,JL-15835,John Lee,Consumer,United States,Los Angeles,California,90049,West,TEC-MA-10002859,Technology,Machines,Ativa MDM8000 8-Sheet Micro-Cut Shredder,287.968,4,0.2,97.1892
CA-2014-120838,2014-03-23,2014-03-26,Second Class,PO-18865,Patrick O'Donnell,Consumer,United States,Los Angeles,California,90036,West,OFF-ST-10000585,Office Supplies,Storage,Economy Rollaway Files,330.4,2,0,85.904
CA-2017-138310,2017-06-26,2017-06-30,Standard Class,NP-18700,Nora Preis,Consumer,United States,Denver,Colorado,80219,West,TEC-AC-10001990,Technology,Accessories,Kensington Orbit Wireless Mobile Trackball for PC and Mac,431.928,9,0.2,64.7892
CA-2014-129364,2014-12-08,2014-12-13,Standard Class,TB-21250,Tim Brockman,Consumer,United States,Salem,Oregon,97301,West,OFF-LA-10001569,Office Supplies,Labels,Avery 499,27.888,7,0.2,9.0636
CA-2017-140760,2017-06-02,2017-06-05,Second Class,DO-13435,Denny Ordway,Consumer,United States,Mesa,Arizona,85204,West,OFF-PA-10002479,Office Supplies,Paper,Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright),25.344,6,0.2,7.92
CA-2017-161956,2017-08-27,2017-08-29,Second Class,DR-12880,Dan Reichenbach,Corporate,United States,Inglewood,California,90301,West,FUR-FU-10002937,Furniture,Furnishings,"\"GE 48\"\" Fluorescent Tube",Cool White Energy Saver,34 Watts,"30/Box\"",198.46
CA-2017-101308,2017-10-02,2017-10-07,Standard Class,FG-14260,Frank Gastineau,Home Office,United States,Seattle,Washington,98105,West,OFF-FA-10002780,Office Supplies,Fasteners,Staples,8.94,3,0,4.1124
CA-2016-108735,2016-04-17,2016-04-21,Standard Class,JM-15535,Jessica Myrick,Consumer,United States,Lakewood,California,90712,West,FUR-BO-10003441,Furniture,Bookcases,"Bush Westfield Collection Bookcases, Fully Assembled",257.499,3,0.15,24.2352
CA-2015-154970,2015-01-05,2015-01-10,Standard Class,SR-20740,Steven Roelle,Home Office,United States,Seattle,Washington,98103,West,FUR-CH-10003396,Furniture,Chairs,Global Deluxe Steno Chair,61.584,1,0.2,-6.9282
CA-2014-162278,2014-10-26,2014-10-30,Second Class,AH-10585,Angele Hood,Consumer,United States,Seattle,Washington,98105,West,FUR-FU-10000448,Furniture,Furnishings,Tenex Chairmats For Use With Carpeted Floors,63.92,4,0,3.196
CA-2017-115175,2017-08-07,2017-08-12,Standard Class,MC-17575,Matt Collins,Consumer,United States,San Jose,California,95123,West,OFF-PA-10001878,Office Supplies,Paper,Xerox 1891,244.55,5,0,114.9385
CA-2016-118969,2016-10-02,2016-10-03,First Class,LP-17095,Liz Preis,Consumer,United States,Phoenix,Arizona,85023,West,OFF-BI-10002429,Office Supplies,Binders,"Premier Elliptical Ring Binder, Black",54.792,6,0.7,-40.1808
CA-2016-101385,2016-09-25,2016-10-01,Standard Class,JW-16075,Julia West,Consumer,United States,San Francisco,California,94109,West,OFF-AR-10004441,Office Supplies,Art,BIC Brite Liner Highlighters,16.56,4,0,6.9552
US-2014-121734,2014-04-11,2014-04-16,Standard Class,SE-20110,Sanjit Engle,Consumer,United States,Lewiston,Idaho,83501,West,OFF-BI-10004817,Office Supplies,Binders,GBC Personal VeloBind Strips,9.584,1,0.2,3.3544
CA-2014-167164,2014-05-13,2014-05-15,Second Class,AG-10270,Alejandro Grove,Consumer,United States,West Jordan,Utah,84084,West,OFF-ST-10000107,Office Supplies,Storage,Fellowes Super Stor/Drawer,55.5,2,0,9.99
US-2016-125969,2016-11-06,2016-11-10,Second Class,LS-16975,Lindsay Shagiari,Home Office,United States,Los Angeles,California,90004,West,FUR-CH-10001146,Furniture,Chairs,"Global Task Chair, Black",81.424,2,0.2,-9.1602
CA-2016-162733,2016-05-11,2016-05-12,First Class,TT-21070,Ted Trevino,Consumer,United States,Los Angeles,California,90045,West,OFF-PA-10002751,Office Supplies,Paper,Xerox 1920,5.98,1,0,2.691
CA-2015-155040,2015-11-10,2015-11-15,Standard Class,AH-10210,Alan Hwang,Consumer,United States,Brentwood,California,94513,West,TEC-AC-10004469,Technology,Accessories,Microsoft Sculpt Comfort Mouse,79.9,2,0,35.156
CA-2015-155334,2015-07-30,2015-07-31,First Class,HA-14920,Helen Andreada,Consumer,United States,San Francisco,California,94109,West,TEC-AC-10003628,Technology,Accessories,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,209.93,7,0,92.3692
CA-2014-111451,2014-12-26,2014-12-28,First Class,KL-16555,Kelly Lampkin,Corporate,United States,Colorado Springs,Colorado,80906,West,FUR-FU-10004091,Furniture,Furnishings,"\"Howard Miller 13\"\" Diameter Goldtone Round Wall Clock\"",300.416,8,0.2,78.8592
CA-2016-148796,2016-04-14,2016-04-18,Standard Class,PB-19150,Philip Brown,Consumer,United States,Los Angeles,California,90004,West,FUR-CH-10004886,Furniture,Chairs,Bevis Steel Folding Chairs,383.8,5,0.2,38.38
CA-2014-134677,2014-10-06,2014-10-10,Standard Class,XP-21865,Xylona Preis,Consumer,United States,San Diego,California,92024,West,TEC-AC-10001445,Technology,Accessories,Imation�USB 2.0 Swivel�Flash Drive�USB�flash drive�- 4 GB - Pink,9.09,3,0,1.9089
CA-2016-126613,2016-07-10,2016-07-16,Standard Class,AA-10375,Allen Armold,Consumer,United States,Mesa,Arizona,85204,West,OFF-ST-10001325,Office Supplies,Storage,Sterilite Officeware Hinged File Box,16.768,2,0.2,1.4672
CA-2016-115917,2016-05-20,2016-05-25,Standard Class,RB-19465,Rick Bensley,Home Office,United States,Vallejo,California,94591,West,FUR-FU-10000576,Furniture,Furnishings,Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base,1049.2,5,0,272.792
CA-2016-152534,2016-06-20,2016-06-25,Second Class,DP-13105,Dave Poirier,Corporate,United States,Salinas,California,93905,West,OFF-AR-10002335,Office Supplies,Art,DIXON Oriole Pencils,5.16,2,0,1.3416
US-2017-111745,2017-11-05,2017-11-06,First Class,RA-19885,Ruben Ausman,Corporate,United States,Farmington,New Mexico,87401,West,TEC-AC-10003911,Technology,Accessories,NETGEAR AC1750 Dual Band Gigabit�Smart WiFi Router,159.99,1,0,54.3966
CA-2016-134348,2016-11-12,2016-11-19,Standard Class,MS-17710,Maurice Satty,Consumer,United States,Mesa,Arizona,85204,West,OFF-BI-10003727,Office Supplies,Binders,Avery Durable Slant Ring Binders With Label Holder,6.27,5,0.7,-4.598
CA-2014-120243,2014-12-27,2014-12-30,Second Class,AT-10435,Alyssa Tate,Home Office,United States,Los Angeles,California,90004,West,OFF-LA-10004425,Office Supplies,Labels,Staple-on labels,11.56,4,0,5.4332
CA-2017-115994,2017-01-28,2017-01-31,Second Class,BT-11305,Beth Thompson,Home Office,United States,Costa Mesa,California,92627,West,TEC-AC-10000580,Technology,Accessories,Logitech G13 Programmable Gameboard with LCD Display,239.97,3,0,26.3967
CA-2015-124800,2015-09-26,2015-09-30,Standard Class,RW-19540,Rick Wilson,Corporate,United States,Mesa,Arizona,85204,West,OFF-PA-10000501,Office Supplies,Paper,Petty Cash Envelope,86.272,4,0.2,31.2736
CA-2017-103611,2017-09-12,2017-09-15,First Class,JM-15535,Jessica Myrick,Consumer,United States,Los Angeles,California,90036,West,FUR-FU-10004270,Furniture,Furnishings,"Eldon Image Series Desk Accessories, Burgundy",8.36,2,0,3.0096
CA-2017-159884,2017-08-31,2017-09-05,Standard Class,JF-15490,Jeremy Farry,Consumer,United States,Tempe,Arizona,85281,West,OFF-ST-10000344,Office Supplies,Storage,"Neat Ideas Personal Hanging Folder Files, Black",10.744,1,0.2,0.8058
US-2016-116729,2016-12-25,2016-12-28,First Class,GK-14620,Grace Kelly,Corporate,United States,Los Angeles,California,90049,West,TEC-PH-10002200,Technology,Phones,Samsung Galaxy Note 2,2575.944,7,0.2,257.5944
CA-2015-157959,2015-02-03,2015-02-04,First Class,RW-19540,Rick Wilson,Corporate,United States,Los Angeles,California,90008,West,FUR-FU-10004093,Furniture,Furnishings,Hand-Finished Solid Wood Document Frame,136.92,4,0,41.076
CA-2015-141768,2015-05-25,2015-05-27,Second Class,NP-18685,Nora Pelletier,Home Office,United States,San Francisco,California,94109,West,FUR-FU-10002268,Furniture,Furnishings,Ultra Door Push Plate,14.73,3,0,4.8609
CA-2016-130267,2016-09-19,2016-09-23,Standard Class,SW-20245,Scot Wooten,Consumer,United States,Stockton,California,95207,West,OFF-PA-10002222,Office Supplies,Paper,"\"Xerox Color Copier Paper, 11\"\" x 17\"\"","Ream\"",159.88,7,0.0
CA-2016-122322,2016-07-15,2016-07-21,Standard Class,RH-19510,Rick Huthwaite,Home Office,United States,Provo,Utah,84604,West,OFF-SU-10000952,Office Supplies,Supplies,Fiskars Home & Office Scissors,44.4,5,0,12.432
CA-2015-117611,2015-11-08,2015-11-10,Second Class,MZ-17335,Maria Zettner,Home Office,United States,San Diego,California,92024,West,OFF-FA-10002280,Office Supplies,Fasteners,Advantus Plastic Paper Clips,5,1,0,2.4
CA-2015-142944,2015-03-06,2015-03-11,Standard Class,JL-15850,John Lucas,Consumer,United States,San Francisco,California,94122,West,FUR-FU-10000308,Furniture,Furnishings,Deflect-o Glass Clear Studded Chair Mats,435.26,7,0,95.7572
CA-2015-100573,2015-09-25,2015-10-01,Standard Class,AM-10705,Anne McFarland,Consumer,United States,Los Angeles,California,90004,West,OFF-EN-10000461,Office Supplies,Envelopes,"\"#10- 4 1/8\"\" x 9 1/2\"\" Recycled Envelopes\"",17.48,2,0,8.2156
CA-2017-108070,2017-04-16,2017-04-20,Standard Class,JE-15745,Joel Eaton,Consumer,United States,San Jose,California,95123,West,OFF-ST-10004804,Office Supplies,Storage,"\"Belkin 19\"\" Vented Equipment Shelf","Black\"",205.92,4,0.0
CA-2015-147788,2015-05-31,2015-06-04,Standard Class,TM-21010,Tamara Manning,Consumer,United States,Orem,Utah,84057,West,FUR-BO-10004357,Furniture,Bookcases,O'Sullivan Living Dimensions 3-Shelf Bookcases,1406.86,7,0,140.686
US-2017-110604,2017-05-15,2017-05-20,Standard Class,JF-15295,Jason Fortune-,Consumer,United States,Seattle,Washington,98103,West,FUR-FU-10000076,Furniture,Furnishings,24-Hour Round Wall Clock,39.96,2,0,17.1828
CA-2015-121797,2015-01-30,2015-02-06,Standard Class,CC-12145,Charles Crestani,Consumer,United States,Los Angeles,California,90049,West,FUR-FU-10001876,Furniture,Furnishings,"Computer Room Manger, 14\"\"",227.36,7,0,81.8496
CA-2017-144827,2017-12-21,2017-12-27,Standard Class,SE-20110,Sanjit Engle,Consumer,United States,Costa Mesa,California,92627,West,OFF-ST-10004340,Office Supplies,Storage,"Fellowes Mobile File Cart, Black",124.36,2,0,33.5772
CA-2017-100202,2016-12-31,2017-01-05,Standard Class,BD-11620,Brian DeCherney,Consumer,United States,Anaheim,California,92804,West,TEC-PH-10002563,Technology,Phones,Adtran 1202752G1,302.376,3,0.2,22.6782
CA-2017-135167,2017-06-15,2017-06-20,Standard Class,SC-20800,Stuart Calhoun,Consumer,United States,Los Angeles,California,90036,West,OFF-AR-10002399,Office Supplies,Art,"Dixon Prang Watercolor Pencils, 10-Color Set with Brush",4.26,1,0,1.7466
CA-2014-128986,2014-08-03,2014-08-05,Second Class,GH-14410,Gary Hansen,Home Office,United States,Glendale,Arizona,85301,West,OFF-PA-10001289,Office Supplies,Paper,White Computer Printout Paper by Universal,93.024,3,0.2,33.7212
CA-2014-115161,2014-01-31,2014-02-02,First Class,LC-17050,Liz Carlisle,Consumer,United States,Mission Viejo,California,92691,West,FUR-BO-10003966,Furniture,Bookcases,"Sauder Facets Collection Library, Sky Alder Finish",290.666,2,0.15,3.4196
CA-2015-115511,2015-11-21,2015-11-25,Standard Class,NW-18400,Natalie Webber,Consumer,United States,Las Vegas,Nevada,89115,West,FUR-BO-10002598,Furniture,Bookcases,"Hon Metal Bookcases, Putty",141.96,2,0,41.1684
US-2014-169789,2014-12-30,2015-01-04,Standard Class,MF-17665,Maureen Fritzler,Corporate,United States,Phoenix,Arizona,85023,West,OFF-BI-10004600,Office Supplies,Binders,Ibico Ibimaster 300 Manual Binding System,551.985,5,0.7,-459.9875
CA-2016-151512,2016-12-26,2017-01-02,Standard Class,SH-19975,Sally Hughsby,Corporate,United States,Denver,Colorado,80219,West,OFF-AP-10000252,Office Supplies,Appliances,Harmony HEPA Quiet Air Purifiers,18.72,2,0.2,3.51
CA-2017-130764,2017-10-27,2017-10-28,First Class,JO-15145,Jack O'Briant,Corporate,United States,San Francisco,California,94110,West,FUR-BO-10003034,Furniture,Bookcases,"O'Sullivan Elevations Bookcase, Cherry Finish",556.665,5,0.15,6.549
CA-2017-133823,2017-05-11,2017-05-12,Same Day,LP-17080,Liz Pelletier,Consumer,United States,Seattle,Washington,98103,West,OFF-PA-10002870,Office Supplies,Paper,"Ampad Phone Message Book, Recycled, 400 Message Capacity, 5 �� x 11�",37.44,6,0,16.848
CA-2017-105914,2017-10-02,2017-10-08,Standard Class,PV-18985,Paul Van Hugh,Home Office,United States,Los Angeles,California,90036,West,OFF-BI-10002854,Office Supplies,Binders,"Performers Binder/Pad Holder, Black",112.12,5,0.2,42.045
CA-2017-112725,2017-01-30,2017-02-06,Standard Class,EH-14125,Eugene Hildebrand,Home Office,United States,San Francisco,California,94110,West,OFF-AR-10003759,Office Supplies,Art,"Crayola Anti Dust Chalk, 12/Pack",12.74,7,0,5.733
US-2017-106131,2017-01-14,2017-01-16,First Class,TP-21565,Tracy Poddar,Corporate,United States,Aurora,Colorado,80013,West,TEC-AC-10003027,Technology,Accessories,Imation�8GB Mini TravelDrive USB 2.0�Flash Drive,169.064,7,0.2,-14.7931
CA-2017-151358,2017-08-18,2017-08-22,Standard Class,NF-18595,Nicole Fjeld,Home Office,United States,Seattle,Washington,98105,West,OFF-ST-10000046,Office Supplies,Storage,Fellowes Super Stor/Drawer Files,323.1,2,0,61.389
CA-2015-115945,2015-06-25,2015-07-01,Standard Class,AB-10165,Alan Barnes,Consumer,United States,Los Angeles,California,90045,West,OFF-AR-10004062,Office Supplies,Art,Staples in misc. colors,20.96,2,0,5.24
CA-2015-125234,2015-11-27,2015-12-01,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Los Angeles,California,90049,West,TEC-AC-10000158,Technology,Accessories,Sony 64GB Class 10 Micro SDHC R40 Memory Card,107.97,3,0,22.6737
CA-2017-105851,2017-03-13,2017-03-20,Standard Class,SE-20110,Sanjit Engle,Consumer,United States,Denver,Colorado,80219,West,OFF-SU-10002881,Office Supplies,Supplies,Martin Yale Chadless Opener Electric Letter Opener,1332.496,2,0.2,-299.8116
CA-2015-163895,2015-08-07,2015-08-11,Standard Class,NS-18640,Noel Staavos,Corporate,United States,Boise,Idaho,83704,West,OFF-BI-10004970,Office Supplies,Binders,"ACCOHIDE 3-Ring Binder, Blue, 1\"\"",3.304,1,0.2,1.1151
CA-2017-105921,2017-08-14,2017-08-21,Standard Class,JM-15250,Janet Martin,Consumer,United States,Los Angeles,California,90032,West,FUR-TA-10001095,Furniture,Tables,Chromcraft Round Conference Tables,418.296,3,0.2,5.2287
CA-2015-110744,2015-09-07,2015-09-12,Standard Class,HA-14920,Helen Andreada,Consumer,United States,Pasadena,California,91104,West,OFF-ST-10003656,Office Supplies,Storage,Safco Industrial Wire Shelving,671.93,7,0,20.1579
CA-2015-118948,2015-05-28,2015-06-03,Standard Class,NK-18490,Neil Knudson,Home Office,United States,Seattle,Washington,98105,West,OFF-AR-10001547,Office Supplies,Art,Newell 311,6.63,3,0,1.7901
CA-2016-142902,2016-09-12,2016-09-14,Second Class,BP-11185,Ben Peterman,Corporate,United States,Arvada,Colorado,80004,West,FUR-FU-10001918,Furniture,Furnishings,C-Line Cubicle Keepers Polyproplyene Holder With Velcro Backings,15.136,4,0.2,3.5948
CA-2014-129924,2014-07-12,2014-07-17,Standard Class,AC-10420,Alyssa Crouse,Corporate,United States,San Francisco,California,94122,West,OFF-BI-10003314,Office Supplies,Binders,Tuff Stuff Recycled Round Ring Binders,7.712,2,0.2,2.7956
CA-2015-128167,2015-06-22,2015-06-26,Second Class,KL-16645,Ken Lonsdale,Consumer,United States,Layton,Utah,84041,West,OFF-FA-10000490,Office Supplies,Fasteners,"\"OIC Binder Clips, Mini, 1/4\"\" Capacity","Black\"",4.96,4,0.0
CA-2014-142048,2014-06-22,2014-06-25,First Class,JE-15745,Joel Eaton,Consumer,United States,Louisville,Colorado,80027,West,TEC-AC-10004114,Technology,Accessories,KeyTronic�6101 Series -�Keyboard�- Black,196.752,6,0.2,56.5662
CA-2017-153787,2017-05-19,2017-05-23,Standard Class,AT-10735,Annie Thurman,Consumer,United States,Seattle,Washington,98115,West,OFF-AP-10001563,Office Supplies,Appliances,Belkin Premiere Surge Master II 8-outlet surge protector,97.16,2,0,28.1764
CA-2014-132500,2014-09-08,2014-09-12,Standard Class,GZ-14470,Gary Zandusky,Consumer,United States,San Francisco,California,94110,West,TEC-AC-10001383,Technology,Accessories,Logitech Wireless Touch Keyboard K400,49.98,2,0,8.4966
CA-2015-144267,2015-08-21,2015-08-23,First Class,NZ-18565,Nick Zandusky,Home Office,United States,San Francisco,California,94110,West,FUR-CH-10002335,Furniture,Chairs,Hon GuestStacker Chair,544.008,3,0.2,40.8006
CA-2017-129567,2017-03-17,2017-03-21,Second Class,CL-12565,Clay Ludtke,Consumer,United States,Lancaster,California,93534,West,OFF-BI-10000014,Office Supplies,Binders,Heavy-Duty E-Z-D Binders,17.456,2,0.2,5.8914
CA-2014-156433,2014-09-20,2014-09-26,Standard Class,ES-14020,Erica Smith,Consumer,United States,San Francisco,California,94110,West,OFF-LA-10001569,Office Supplies,Labels,Avery 499,9.96,2,0,4.5816
CA-2014-134313,2014-11-01,2014-11-07,Standard Class,RA-19915,Russell Applegate,Consumer,United States,Denver,Colorado,80219,West,OFF-AR-10001897,Office Supplies,Art,Model L Table or Wall-Mount Pencil Sharpener,43.176,3,0.2,4.3176
CA-2014-151995,2014-10-13,2014-10-15,First Class,ZC-21910,Zuschuss Carroll,Consumer,United States,Edmonds,Washington,98026,West,OFF-AR-10003190,Office Supplies,Art,Newell 32,11.52,4,0,3.2256
CA-2017-143686,2017-05-14,2017-05-14,Same Day,PJ-19015,Pauline Johnson,Consumer,United States,Santa Ana,California,92704,West,FUR-FU-10000794,Furniture,Furnishings,"Eldon Stackable Tray, Side-Load, Legal, Smoke",18.28,2,0,6.2152
CA-2015-148250,2015-12-13,2015-12-17,Standard Class,RP-19270,Rachel Payne,Corporate,United States,Riverside,California,92503,West,OFF-PA-10000289,Office Supplies,Paper,Xerox 213,12.96,2,0,6.2208
CA-2014-127012,2014-08-11,2014-08-15,Standard Class,GM-14680,Greg Matthias,Consumer,United States,Seattle,Washington,98105,West,FUR-FU-10003691,Furniture,Furnishings,"Eldon Image Series Desk Accessories, Ebony",12.35,1,0,5.434
CA-2017-110380,2017-09-02,2017-09-07,Standard Class,PF-19225,Phillip Flathmann,Consumer,United States,San Francisco,California,94122,West,OFF-AR-10000422,Office Supplies,Art,Pencil and Crayon Sharpener,6.57,3,0,1.7739
CA-2016-145919,2016-12-18,2016-12-23,Standard Class,HG-14965,Henry Goldwyn,Corporate,United States,Los Angeles,California,90032,West,OFF-PA-10003072,Office Supplies,Paper,"\"Eureka Recycled Copy Paper 8 1/2\"\" x 11\"\"","Ream\"",38.88,6,0.0
US-2016-108098,2016-10-14,2016-10-18,Standard Class,CP-12340,Christine Phan,Corporate,United States,Seattle,Washington,98115,West,TEC-AC-10000865,Technology,Accessories,WD My Passport Ultra 500GB Portable External Hard Drive,177,3,0,30.09
US-2016-115819,2016-04-19,2016-04-24,Second Class,JO-15280,Jas O'Carroll,Consumer,United States,Los Angeles,California,90049,West,TEC-PH-10004700,Technology,Phones,PowerGen Dual USB Car Charger,39.96,5,0.2,12.987
CA-2014-110527,2014-08-09,2014-08-16,Standard Class,ED-13885,Emily Ducich,Home Office,United States,San Diego,California,92037,West,OFF-LA-10000262,Office Supplies,Labels,Avery 494,20.88,8,0,9.6048
CA-2016-100965,2016-07-07,2016-07-11,Standard Class,RM-19375,Raymond Messe,Consumer,United States,San Jose,California,95123,West,FUR-FU-10003039,Furniture,Furnishings,"\"Howard Miller 11-1/2\"\" Diameter Grantwood Wall Clock\"",215.65,5,0,73.321
CA-2016-149461,2016-11-13,2016-11-19,Standard Class,AS-10135,Adrian Shami,Home Office,United States,Auburn,Washington,98002,West,FUR-FU-10004270,Furniture,Furnishings,"Eldon Image Series Desk Accessories, Burgundy",4.18,1,0,1.5048
